# High likelihood threshold: 0.13657068824000002
Phenotype	Likelihood	Term	High Likelihood
D001171	0.026906452210585755	Arthritis, Juvenile	False
D006973	0.02646328814943356	Hypertension	False
D007234	0.02238120078010765	Infant, Premature	False
D004485	0.019528036782204772	Eczema	False
D054323	0.019495575634357405	Shiga-Toxigenic Escherichia coli	False
D008107	0.018211705971508743	Liver Diseases	False
D013959	0.018097030727312426	Thyroid Diseases	False
D000067877	0.017938120086271287	Autism Spectrum Disorder	False
D001172	0.01770397652705138	Arthritis, Rheumatoid	False
D013167	0.017499464199995266	Spondylitis, Ankylosing	False
D003967	0.016958916755053864	Diarrhea	False
D003248	0.01674887794911503	Constipation	False
D007410	0.01619368162418212	Intestinal Diseases	False
D008171	0.01595683373804246	Lung Diseases	False
D015212	0.015860851942863373	Inflammatory Bowel Diseases	False
D050197	0.01480941075706472	Atherosclerosis	False
D000236	0.014773364029575322	Adenoma	False
D003424	0.014684050935049807	Crohn Disease	False
D009765	0.014259155273697973	Obesity	False
D002318	0.01418289348149972	Cardiovascular Diseases	False
D001714	0.013756156070581952	Bipolar Disorder	False
D004827	0.013084678275305295	Epilepsy	False
D008881	0.01251213885037049	Migraine Disorders	False
D001289	0.012057739907052584	Attention Deficit Disorder with Hyperactivity	False
D014376	0.011975967852525282	Tuberculosis	False
D001528	0.011571599632995774	Behcet Syndrome	False
D010300	0.011570836349308073	Parkinson Disease	False
D065626	0.011501653906348655	Non-alcoholic Fatty Liver Disease	False
D001327	0.011459012661939058	Autoimmune Diseases	False
D015179	0.011283565164219687	Colorectal Neoplasms	False
D003922	0.01115537433668378	Diabetes Mellitus, Type 1	False
D003924	0.010928008216312577	Diabetes Mellitus, Type 2	False
D007230	0.010887308879368668	Infant, Low Birth Weight	False
D008545	0.010837331060255766	Melanoma	False
D014607	0.01007769088561688	Uveomeningoencephalitic Syndrome	False
D054198	0.010030504619260918	Precursor Cell Lymphoblastic Leukemia-Lymphoma	False
D003093	0.009875833966660067	Colitis, Ulcerative	False
D024821	0.009752181734595482	Metabolic Syndrome	False
D003920	0.009057624859213933	Diabetes Mellitus	False
D016640	0.009003135205528277	Diabetes, Gestational	False
D006262	0.008843141457396847	Health	False
D037841	0.008784029077325674	Pregnant Women	False
D001943	0.008217634162253443	Breast Neoplasms	False
D043183	0.008045632073104337	Irritable Bowel Syndrome	False
D001321	0.007921168977674921	Autistic Disorder	False
D007676	0.0076553265787303	Kidney Failure, Chronic	False
D007674	0.007425467259277538	Kidney Diseases	False
D002446	0.007386907066241057	Celiac Disease	False
D012778	0.007041735089197398	Short Bowel Syndrome	False
D000755	0.0066314556937053255	Anemia, Sickle Cell	False
D015497	0.006508504077469331	HIV-1	False
D005764	0.006229647645873499	Gastroesophageal Reflux	False
D011236	0.006140199512253254	Prediabetic State	False
D003015	0.005928452681289176	Clostridium Infections	False
D003550	0.005698887954257484	Cystic Fibrosis	False
D016360	0.005425723318823502	Clostridium difficile	False
D050177	0.005222126685816837	Overweight	False
D006515	0.0051549265539209835	Hepatitis B virus	False
D009767	0.004723960569419732	Obesity, Morbid	False
D025241	0.0039728029260646495	Spondylarthritis	False
D003108	0.003773308702001336	Colonic Diseases	False
D000855	0.0035586891984956542	Anorexia	False
D015658	0.0033311844932763057	HIV Infections	False
D020187	0.0031264092089210616	REM Sleep Behavior Disorder	False
D016918	0.0030404003527815197	Arthritis, Reactive	False
D011565	0.0028363333352155588	Psoriasis	False
D015518	0.0028041912221985453	Rett Syndrome	False
D006678	0.002514306094506374	HIV	False
D005891	0.002503757804918171	Gingivitis	False
D001249	0.0024861794064754816	Asthma	False
D008103	0.0024068227684702734	Liver Cirrhosis	False
D010661	0.0022287530185137183	Phenylketonurias	False
D012400	0.002157399574588044	Rotavirus Infections	False
D000067011	0.0021371596321402226	Severe Acute Malnutrition	False
D015209	0.0020760171145804153	Cholangitis, Sclerosing	False
D006111	0.001916984027222941	Graves Disease	False
D050031	0.0019095963396511815	Hashimoto Disease	False
D055113	0.0018355374888720571	Chronic Periodontitis	False
D013964	0.0017376064120145653	Thyroid Neoplasms	False
D003863	0.0017107118313477246	Depression	False
D002277	0.0014035267522919594	Carcinoma	False
D019337	0.0012482227897631737	Hematologic Neoplasms	False
D020345	0.0007603150942101414	Enterocolitis, Necrotizing	False
D000544	0.0004884479853766144	Alzheimer Disease	False
D013274	0.00011221905730985584	Stomach Neoplasms	False
