# High likelihood threshold: 0.13657068824000002
Phenotype	Likelihood	Term	High Likelihood
D006973	0.0441241634230846	Hypertension	False
D001171	0.038855183170798405	Arthritis, Juvenile	False
D000755	0.03673824497421781	Anemia, Sickle Cell	False
D013167	0.03552288306345194	Spondylitis, Ankylosing	False
D001172	0.03391972968918606	Arthritis, Rheumatoid	False
D003424	0.030178458438290114	Crohn Disease	False
D014376	0.029453267202745832	Tuberculosis	False
D015212	0.0289488274252071	Inflammatory Bowel Diseases	False
D001528	0.026513978253130184	Behcet Syndrome	False
D054323	0.02597274535776911	Shiga-Toxigenic Escherichia coli	False
D020187	0.025774403124607246	REM Sleep Behavior Disorder	False
D000067877	0.025225604346532766	Autism Spectrum Disorder	False
D007410	0.025054354118544418	Intestinal Diseases	False
D000236	0.02398452247825251	Adenoma	False
D003248	0.023724105514321647	Constipation	False
D011236	0.02357293358446027	Prediabetic State	False
D008171	0.022962822365572268	Lung Diseases	False
D001943	0.022762038063501164	Breast Neoplasms	False
D001289	0.022443009927984134	Attention Deficit Disorder with Hyperactivity	False
D014607	0.022171818605293308	Uveomeningoencephalitic Syndrome	False
D001714	0.021882144482939587	Bipolar Disorder	False
D009765	0.02188123898142923	Obesity	False
D006111	0.021526219867566473	Graves Disease	False
D016640	0.02121600743886527	Diabetes, Gestational	False
D037841	0.020821767063926074	Pregnant Women	False
D013959	0.020746498025490064	Thyroid Diseases	False
D065626	0.02048981718092643	Non-alcoholic Fatty Liver Disease	False
D008107	0.01989321820634849	Liver Diseases	False
D009767	0.0198474188433377	Obesity, Morbid	False
D003924	0.01972126746263122	Diabetes Mellitus, Type 2	False
D002318	0.019555622408859632	Cardiovascular Diseases	False
D010300	0.01930543836194589	Parkinson Disease	False
D003093	0.019262228326179506	Colitis, Ulcerative	False
D015179	0.019112224073382367	Colorectal Neoplasms	False
D050197	0.019062915184519382	Atherosclerosis	False
D008881	0.01904314856471996	Migraine Disorders	False
D008545	0.01895707092818995	Melanoma	False
D004827	0.0189358970960086	Epilepsy	False
D001327	0.018709600622148433	Autoimmune Diseases	False
D006262	0.018533981110648197	Health	False
D024821	0.018279397020228207	Metabolic Syndrome	False
D054198	0.01826006765648405	Precursor Cell Lymphoblastic Leukemia-Lymphoma	False
D003922	0.018182129001159324	Diabetes Mellitus, Type 1	False
D007674	0.017978278082714325	Kidney Diseases	False
D007234	0.01781611379393731	Infant, Premature	False
D013964	0.01759470154050221	Thyroid Neoplasms	False
D055113	0.017390978451943904	Chronic Periodontitis	False
D008103	0.017246462232930537	Liver Cirrhosis	False
D012400	0.017198771774277737	Rotavirus Infections	False
D003967	0.016918337846747768	Diarrhea	False
D043183	0.016744159644574867	Irritable Bowel Syndrome	False
D004485	0.01639925214878297	Eczema	False
D007676	0.016358726204319076	Kidney Failure, Chronic	False
D001321	0.01619234199445291	Autistic Disorder	False
D006515	0.016025461213619967	Hepatitis B virus	False
D011565	0.015756411577655397	Psoriasis	False
D025241	0.015184855289495834	Spondylarthritis	False
D003920	0.015142077754047285	Diabetes Mellitus	False
D050177	0.015087125052612862	Overweight	False
D015497	0.01451675634616657	HIV-1	False
D050031	0.01378499612793498	Hashimoto Disease	False
D015518	0.013731668172376687	Rett Syndrome	False
D000855	0.013472924043191828	Anorexia	False
D005764	0.012888347611027577	Gastroesophageal Reflux	False
D000544	0.012513426206372351	Alzheimer Disease	False
D002446	0.012498141639532783	Celiac Disease	False
D003550	0.01210642632423268	Cystic Fibrosis	False
D020345	0.011949564960064442	Enterocolitis, Necrotizing	False
D003015	0.011932085677373257	Clostridium Infections	False
D005891	0.01090818052882555	Gingivitis	False
D012778	0.010695252172284292	Short Bowel Syndrome	False
D015209	0.01056901299570981	Cholangitis, Sclerosing	False
D016360	0.009723741176647807	Clostridium difficile	False
D001249	0.009712802455336437	Asthma	False
D003863	0.009140286125388685	Depression	False
D016918	0.008709667434819508	Arthritis, Reactive	False
D003108	0.008179795236010368	Colonic Diseases	False
D019337	0.008005818155650083	Hematologic Neoplasms	False
D010661	0.007453936976120149	Phenylketonurias	False
D007230	0.0072441785558363305	Infant, Low Birth Weight	False
D006678	0.005763143077301569	HIV	False
D015658	0.005726942180241343	HIV Infections	False
D000067011	0.004097451818013418	Severe Acute Malnutrition	False
D002277	0.0034442957580682423	Carcinoma	False
D013274	0.000731572864744708	Stomach Neoplasms	False
