# Reaction HUMAnN v4.0.0.alpha.1	SRR31533935
UNMAPPED	10535.0000000000
UNGROUPED	103.5338173938
UNGROUPED|unclassified	103.5338173938
QOR-RXN	11975.8018964612
QOR-RXN|unclassified	11975.8018964612
PRPPSYN-RXN	2811.6481117597
PRPPSYN-RXN|unclassified	2811.6481117597
DIOHBUTANONEPSYN-RXN	2367.1823642497
DIOHBUTANONEPSYN-RXN|unclassified	2367.1823642497
DTDPGLUCOSEPP-RXN	1840.5100404099
DTDPGLUCOSEPP-RXN|unclassified	1840.5100404099
NADH-DEHYDROG-A-RXN	1566.8870421680
NADH-DEHYDROG-A-RXN|unclassified	1566.8870421680
NADH-PQ-DEHYDROG-RXN	1566.8870421680
NADH-PQ-DEHYDROG-RXN|unclassified	1566.8870421680
RXN-21274	1566.8870421680
RXN-21274|unclassified	1566.8870421680
RXN-21415	1566.8870421680
RXN-21415|unclassified	1566.8870421680
3.1.26.5-RXN	1169.1925227405
3.1.26.5-RXN|unclassified	1169.1925227405
RXN0-6480	1169.1925227405
RXN0-6480|unclassified	1169.1925227405
ATPSYN-RXN	416.2992199594
ATPSYN-RXN|unclassified	416.2992199594
DNA-DIRECTED-RNA-POLYMERASE-RXN	392.5000241429
DNA-DIRECTED-RNA-POLYMERASE-RXN|unclassified	392.5000241429
3.2.1.17-RXN	300.6998642880
3.2.1.17-RXN|unclassified	300.6998642880
TRYPTOPHAN--TRNA-LIGASE-RXN	297.9453620830
TRYPTOPHAN--TRNA-LIGASE-RXN|unclassified	297.9453620830
RXN-15479	15.9278685602
RXN-15479|unclassified	15.9278685602
6.3.5.7-RXN	15.7863464699
6.3.5.7-RXN|unclassified	15.7863464699
3.1.3.16-RXN	7.6558610881
3.1.3.16-RXN|unclassified	7.6558610881
RXN-11592	7.1942446043
RXN-11592|unclassified	7.1942446043
CDPKIN-RXN	3.4275946333
CDPKIN-RXN|unclassified	3.4275946333
DADPKIN-RXN	3.4275946333
DADPKIN-RXN|unclassified	3.4275946333
DCDPKIN-RXN	3.4275946333
DCDPKIN-RXN|unclassified	3.4275946333
DGDPKIN-RXN	3.4275946333
DGDPKIN-RXN|unclassified	3.4275946333
DTDPKIN-RXN	3.4275946333
DTDPKIN-RXN|unclassified	3.4275946333
DUDPKIN-RXN	3.4275946333
DUDPKIN-RXN|unclassified	3.4275946333
GDPKIN-RXN	3.4275946333
GDPKIN-RXN|unclassified	3.4275946333
NUCLEOSIDE-DIP-KIN-RXN	3.4275946333
NUCLEOSIDE-DIP-KIN-RXN|unclassified	3.4275946333
RXN-14120	3.4275946333
RXN-14120|unclassified	3.4275946333
RXN-14228	3.4275946333
RXN-14228|unclassified	3.4275946333
UDPKIN-RXN	3.4275946333
UDPKIN-RXN|unclassified	3.4275946333
RXN-12174	2.3474178404
RXN-12174|unclassified	2.3474178404
RXN-16820	2.0408163265
RXN-16820|unclassified	2.0408163265
RXN-18693	2.0408163265
RXN-18693|unclassified	2.0408163265
RXN0-2023	2.0408163265
RXN0-2023|unclassified	2.0408163265
ADENINE-DEAMINASE-RXN	1.6720820643
ADENINE-DEAMINASE-RXN|unclassified	1.6720820643
RXN-15561	1.1025358324
RXN-15561|unclassified	1.1025358324
