# Reaction HUMAnN v4.0.0.alpha.1	SRR31533935_merged
UNMAPPED	51.0000000000
UNGROUPED	0.0000000000
QOR-RXN	79.5764893284
QOR-RXN|unclassified	79.5764893284
PRPPSYN-RXN	17.4464118847
PRPPSYN-RXN|unclassified	17.4464118847
DIOHBUTANONEPSYN-RXN	14.7207344135
DIOHBUTANONEPSYN-RXN|unclassified	14.7207344135
NADH-DEHYDROG-A-RXN	12.9416091374
NADH-DEHYDROG-A-RXN|unclassified	12.9416091374
NADH-PQ-DEHYDROG-RXN	12.9416091374
NADH-PQ-DEHYDROG-RXN|unclassified	12.9416091374
RXN-21274	12.9416091374
RXN-21274|unclassified	12.9416091374
RXN-21415	12.9416091374
RXN-21415|unclassified	12.9416091374
DTDPGLUCOSEPP-RXN	10.2536268805
DTDPGLUCOSEPP-RXN|unclassified	10.2536268805
3.1.26.5-RXN	3.8610038610
3.1.26.5-RXN|unclassified	3.8610038610
RXN0-6480	3.8610038610
RXN0-6480|unclassified	3.8610038610
ATPSYN-RXN	1.9193857965
ATPSYN-RXN|unclassified	1.9193857965
