# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR7947168_1
READS_UNMAPPED	79830.0000000000
UniClust90_1942-GBOKNFNA_04548	2427.4173650172
UniClust90_1942-GBOKNFNA_04548|unclassified	2427.4173650172
UniRef90_A0A172E6W9	1768.1828886828
UniRef90_A0A172E6W9|unclassified	1768.1828886828
UniRef90_A0A2W0APQ0	1688.9798808206
UniRef90_A0A2W0APQ0|unclassified	1688.9798808206
UniRef90_A0A069RJB6	1385.2354512747
UniRef90_A0A069RJB6|unclassified	1385.2354512747
UniClust90_3054-OPPDGPDN_00022	1383.2450273654
UniClust90_3054-OPPDGPDN_00022|unclassified	1383.2450273654
UniClust90_12290-LMJGEGCL_02369	1265.3657166686
UniClust90_12290-LMJGEGCL_02369|unclassified	1265.3657166686
UniClust90_1818-OMCNLIBF_00732	1240.0143455006
UniClust90_1818-OMCNLIBF_00732|unclassified	1240.0143455006
UniClust90_28244-DOMIGIEM_01735	1204.7319181954
UniClust90_28244-DOMIGIEM_01735|unclassified	1204.7319181954
UniClust90_42083-ACPKOMKP_02531	1160.1346037736
UniClust90_42083-ACPKOMKP_02531|unclassified	1160.1346037736
UniClust90_4119-GLJLLHIG_01069	1053.6210494825
UniClust90_4119-GLJLLHIG_01069|unclassified	1053.6210494825
UniClust90_87130-BLEPMJCG_00888	968.9261865635
UniClust90_87130-BLEPMJCG_00888|unclassified	968.9261865635
UniRef90_A0A414GM97	960.2100822040
UniRef90_A0A414GM97|unclassified	960.2100822040
UniRef90_A0A0M3C7F2	923.1881924710
UniRef90_A0A0M3C7F2|unclassified	923.1881924710
UniRef90_A0A3R6AEQ3	923.0563376116
UniRef90_A0A3R6AEQ3|unclassified	923.0563376116
UniClust90_4530-EELFJPHB_01513	883.4179831432
UniClust90_4530-EELFJPHB_01513|unclassified	883.4179831432
UniClust90_6629-MAMEGABH_00723	875.2866101089
UniClust90_6629-MAMEGABH_00723|unclassified	875.2866101089
UniClust90_1899-GJHFOBPN_00746	792.7644077514
UniClust90_1899-GJHFOBPN_00746|unclassified	792.7644077514
UniRef90_Q8A245	788.4060275405
UniRef90_Q8A245|unclassified	788.4060275405
UniRef90_A0A0U1CS47	784.9074692976
UniRef90_A0A0U1CS47|unclassified	784.9074692976
UniRef90_J9GMQ9	780.4697691021
UniRef90_J9GMQ9|unclassified	780.4697691021
UniRef90_A0A351ECB7	770.3088571250
UniRef90_A0A351ECB7|unclassified	770.3088571250
UniRef90_J7TG29	761.2323144906
UniRef90_J7TG29|unclassified	761.2323144906
UniClust90_39966-AEDHJODP_00379	759.2494508028
UniClust90_39966-AEDHJODP_00379|unclassified	759.2494508028
UniClust90_2325-KLFHGMIP_01864	758.1862302671
UniClust90_2325-KLFHGMIP_01864|unclassified	758.1862302671
UniRef90_I9S795	743.7142783130
UniRef90_I9S795|unclassified	743.7142783130
UniRef90_A0A417M1R1	742.3772407850
UniRef90_A0A417M1R1|unclassified	742.3772407850
UniClust90_1848-GPGMDHOG_04206	738.0411954131
UniClust90_1848-GPGMDHOG_04206|unclassified	738.0411954131
UniClust90_37323-PAGEELHO_00917	718.4295878564
UniClust90_37323-PAGEELHO_00917|unclassified	718.4295878564
UniClust90_40817-FDKLBMFA_00117	718.2298560976
UniClust90_40817-FDKLBMFA_00117|unclassified	718.2298560976
UniClust90_71327-LIFNEGGO_00338	711.4574425134
UniClust90_71327-LIFNEGGO_00338|unclassified	711.4574425134
UniClust90_1959-JACFLFGM_00153	695.8507350459
UniClust90_1959-JACFLFGM_00153|unclassified	695.8507350459
UniClust90_14110-IHKKKGPA_01447	690.7495153785
UniClust90_14110-IHKKKGPA_01447|unclassified	690.7495153785
UniRef90_A0A3C2ENE0	673.9635793354
UniRef90_A0A3C2ENE0|unclassified	673.9635793354
UniClust90_101324-MKJDENCN_00702	655.0387418691
UniClust90_101324-MKJDENCN_00702|unclassified	655.0387418691
UniRef90_A0A174BQ24	655.0387418691
UniRef90_A0A174BQ24|unclassified	655.0387418691
UniClust90_2141-PGJDNHJA_02504	650.3960478820
UniClust90_2141-PGJDNHJA_02504|unclassified	650.3960478820
UniClust90_17345-EJLFMANA_00198	649.3847232551
UniClust90_17345-EJLFMANA_00198|unclassified	649.3847232551
UniClust90_41446-BBOFLENI_00513	645.5454267695
UniClust90_41446-BBOFLENI_00513|unclassified	645.5454267695
UniClust90_42343-MNLAPBNM_01466	645.1546588407
UniClust90_42343-MNLAPBNM_01466|unclassified	645.1546588407
UniClust90_35725-LOMJFFOD_01944	639.0729816333
UniClust90_35725-LOMJFFOD_01944|unclassified	639.0729816333
UniClust90_1930-CGNJEKMA_00552	638.2753055310
UniClust90_1930-CGNJEKMA_00552|unclassified	638.2753055310
UniClust90_2279-MGBOGCKE_01330	636.3233492443
UniClust90_2279-MGBOGCKE_01330|unclassified	636.3233492443
UniClust90_4866-KCGMKMIF_01832	633.7712570861
UniClust90_4866-KCGMKMIF_01832|unclassified	633.7712570861
UniClust90_4042-FKNCLMIP_01235	631.8421988975
UniClust90_4042-FKNCLMIP_01235|unclassified	631.8421988975
UniRef90_A0A016DQP7	630.3703892428
UniRef90_A0A016DQP7|unclassified	630.3703892428
UniRef90_A0A174QKC8	619.2333882161
UniRef90_A0A174QKC8|unclassified	619.2333882161
UniRef90_UNK4832-MKKGFMHD_01619	616.8689551088
UniRef90_UNK4832-MKKGFMHD_01619|unclassified	616.8689551088
UniClust90_63713-IMEJGDOD_02187	613.9010431044
UniClust90_63713-IMEJGDOD_02187|unclassified	613.9010431044
UniRef90_A0A357CXW2	612.8260183259
UniRef90_A0A357CXW2|unclassified	612.8260183259
UniClust90_1887-HMJPLMCC_01690	610.1730746178
UniClust90_1887-HMJPLMCC_01690|unclassified	610.1730746178
UniClust90_39954-CKIIDPLF_01945	609.5212278235
UniClust90_39954-CKIIDPLF_01945|unclassified	609.5212278235
UniClust90_1890-KDKMJJBK_02506	607.1830771624
UniClust90_1890-KDKMJJBK_02506|unclassified	607.1830771624
UniRef90_A0A1C5M7Z5	605.5335097647
UniRef90_A0A1C5M7Z5|unclassified	605.5335097647
UniRef90_A0A3E4KN39	604.8088539949
UniRef90_A0A3E4KN39|unclassified	604.8088539949
UniRef90_K1UIN2	601.9274925284
UniRef90_K1UIN2|unclassified	601.9274925284
UniClust90_105952-NLIDDOIN_01351	598.8587893181
UniClust90_105952-NLIDDOIN_01351|unclassified	598.8587893181
UniRef90_A0A3G2JXX4	598.1250477552
UniRef90_A0A3G2JXX4|unclassified	598.1250477552
UniRef90_UNK1845-CMOCOLII_00895	596.3687573740
UniRef90_UNK1845-CMOCOLII_00895|unclassified	596.3687573740
UniClust90_1782-BHMDGLOD_01717	594.1394484073
UniClust90_1782-BHMDGLOD_01717|unclassified	594.1394484073
UniClust90_11307-CJNGGNPL_01291	592.4278984195
UniClust90_11307-CJNGGNPL_01291|unclassified	592.4278984195
UniClust90_4829-GJJBEGAP_01738	590.6162453031
UniClust90_4829-GJJBEGAP_01738|unclassified	590.6162453031
UniClust90_1493-KEOGMPBH_01087	590.2016322843
UniClust90_1493-KEOGMPBH_01087|unclassified	590.2016322843
UniRef90_A0A1H3AWX1	588.7975847426
UniRef90_A0A1H3AWX1|unclassified	588.7975847426
UniClust90_1857-JEPKPACM_03962	556.7829305887
UniClust90_1857-JEPKPACM_03962|unclassified	556.7829305887
UniClust90_58537-AKCPOCKL_01545	552.4171617005
UniClust90_58537-AKCPOCKL_01545|unclassified	552.4171617005
UniClust90_1526-EPMBCCHH_00409	552.2605867304
UniClust90_1526-EPMBCCHH_00409|unclassified	552.2605867304
UniClust90_48439-HLNCOHFP_01773	551.2533827678
UniClust90_48439-HLNCOHFP_01773|unclassified	551.2533827678
UniClust90_4631-FGPCFHBK_01172	549.9090672481
UniClust90_4631-FGPCFHBK_01172|unclassified	549.9090672481
UniClust90_4994-IMJOHGGG_00719	546.5559631795
UniClust90_4994-IMJOHGGG_00719|unclassified	546.5559631795
UniClust90_1710-KGCHIKHI_00040	543.2028591110
UniClust90_1710-KGCHIKHI_00040|unclassified	543.2028591110
UniRef90_UNK1636-GFJLAJJC_00485	538.7080762135
UniRef90_UNK1636-GFJLAJJC_00485|unclassified	538.7080762135
UniRef90_UNK102236-PFKCKDCL_01118	531.8570908104
UniRef90_UNK102236-PFKCKDCL_01118|unclassified	531.8570908104
UniRef90_A0A078QRD2	530.2694577036
UniRef90_A0A078QRD2|unclassified	530.2694577036
UniClust90_66068-FFMJNCGJ_00903	529.6599064375
UniClust90_66068-FFMJNCGJ_00903|unclassified	529.6599064375
UniRef90_A7V007	524.0309934953
UniRef90_A7V007|unclassified	524.0309934953
UniRef90_A0A0P0M418	522.9517602818
UniRef90_A0A0P0M418|unclassified	522.9517602818
UniClust90_4872-ONKIIBML_00168	522.6066042685
UniClust90_4872-ONKIIBML_00168|unclassified	522.6066042685
UniClust90_103409-ALAMIAMP_01112	518.0054207904
UniClust90_103409-ALAMIAMP_01112|unclassified	518.0054207904
UniClust90_6497-HOLFHJCD_00296	517.9376098500
UniClust90_6497-HOLFHJCD_00296|unclassified	517.9376098500
UniRef90_A0A078Q099	517.9376098500
UniRef90_A0A078Q099|unclassified	517.9376098500
UniRef90_A0A1J0LLU8	515.2191862634
UniRef90_A0A1J0LLU8|unclassified	515.2191862634
UniClust90_98284-FLDGPGBL_01267	512.8142649813
UniClust90_98284-FLDGPGBL_01267|unclassified	512.8142649813
UniRef90_UNK7040-BNOJOHBF_00616	511.5897372519
UniRef90_UNK7040-BNOJOHBF_00616|unclassified	511.5897372519
UniClust90_1878-OFFDKGBM_03945	509.7940733876
UniClust90_1878-OFFDKGBM_03945|unclassified	509.7940733876
UniClust90_4482-NKLCOMOB_00584	506.1663005352
UniClust90_4482-NKLCOMOB_00584|unclassified	506.1663005352
UniClust90_4860-AAAGBKAE_02282	506.1663005352
UniClust90_4860-AAAGBKAE_02282|unclassified	506.1663005352
UniRef90_UPI000A058459	504.7364522286
UniRef90_UPI000A058459|unclassified	504.7364522286
UniRef90_A0A412MGJ1	502.3107757264
UniRef90_A0A412MGJ1|unclassified	502.3107757264
UniRef90_Q89ZM7	495.5218276563
UniRef90_Q89ZM7|unclassified	495.5218276563
UniClust90_1799-MHENPNDG_01963	494.9181605233
UniClust90_1799-MHENPNDG_01963|unclassified	494.9181605233
UniRef90_A0A243W6B8	493.5584952472
UniRef90_A0A243W6B8|unclassified	493.5584952472
UniRef90_D7NGB3	491.2790564018
UniRef90_D7NGB3|unclassified	491.2790564018
UniRef90_A0A0P0GK50	490.1803542525
UniRef90_A0A0P0GK50|unclassified	490.1803542525
UniRef90_A0A1C6EFW6	489.4942770505
UniRef90_A0A1C6EFW6|unclassified	489.4942770505
UniRef90_A0A0N7I9S5	487.5138047557
UniRef90_A0A0N7I9S5|unclassified	487.5138047557
UniRef90_D4VI05	485.5255654815
UniRef90_D4VI05|unclassified	485.5255654815
UniClust90_1949-GNIAOHPH_01504	484.6577351819
UniClust90_1949-GNIAOHPH_01504|unclassified	484.6577351819
UniClust90_20349-HNCGLLAF_01898	484.1590700772
UniClust90_20349-HNCGLLAF_01898|unclassified	484.1590700772
UniClust90_35744-CNIFMJEB_01850	484.1590700772
