# Reaction HUMAnN v4.0.0.alpha.1	SRR7947171_1
UNMAPPED	20885.0000000000
UNGROUPED	538.2762651794
UNGROUPED|unclassified	538.2762651794
DNA-DIRECTED-RNA-POLYMERASE-RXN	437.0726357251
DNA-DIRECTED-RNA-POLYMERASE-RXN|unclassified	437.0726357251
RXN-15561	189.0405679625
RXN-15561|unclassified	189.0405679625
3.1.26.5-RXN	187.6001945138
3.1.26.5-RXN|unclassified	187.6001945138
RXN0-6480	187.6001945138
RXN0-6480|unclassified	187.6001945138
3.4.19.12-RXN	113.9498637374
3.4.19.12-RXN|unclassified	113.9498637374
RNA-DIRECTED-DNA-POLYMERASE-RXN	69.7441799331
RNA-DIRECTED-DNA-POLYMERASE-RXN|unclassified	69.7441799331
2.7.13.3-RXN	61.0988305351
2.7.13.3-RXN|unclassified	61.0988305351
RXN-13993	44.8758962316
RXN-13993|unclassified	44.8758962316
DIACYLGLYKIN-RXN	32.2922547459
DIACYLGLYKIN-RXN|unclassified	32.2922547459
RXN-12588	31.2770722335
RXN-12588|unclassified	31.2770722335
RXN-14385	31.2770722335
RXN-14385|unclassified	31.2770722335
RXN-15881	31.2770722335
RXN-15881|unclassified	31.2770722335
RXN-20037	31.2770722335
RXN-20037|unclassified	31.2770722335
RXN-21560	31.2770722335
RXN-21560|unclassified	31.2770722335
RXN-21566	31.2770722335
RXN-21566|unclassified	31.2770722335
RXN-9787	31.2770722335
RXN-9787|unclassified	31.2770722335
GLYRIBONUCSYN-RXN	29.1966566841
GLYRIBONUCSYN-RXN|unclassified	29.1966566841
AICARSYN-RXN	28.9406867192
AICARSYN-RXN|unclassified	28.9406867192
AMPSYN-RXN	28.9406867192
AMPSYN-RXN|unclassified	28.9406867192
3.1.3.46-RXN	26.5294330083
3.1.3.46-RXN|unclassified	26.5294330083
6-PHOSPHOFRUCTO-2-KINASE-RXN	26.5294330083
6-PHOSPHOFRUCTO-2-KINASE-RXN|unclassified	26.5294330083
RXN-11056	25.5046780412
RXN-11056|unclassified	25.5046780412
RXN-11057	25.5046780412
