# Pathway HUMAnN v4.0.0.alpha.1	SRR7947171_merged_Abundance
UNMAPPED	5245.0505603281
UNINTEGRATED	1198.5527890826
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	10.9872294430
PWY-3781: aerobic respiration I (cytochrome c)	10.0131558492
PWY-5667: CDP-diacylglycerol biosynthesis I	7.3686569445
PWY0-1319: CDP-diacylglycerol biosynthesis II	7.3686569445
PWY-5981: CDP-diacylglycerol biosynthesis III	6.9965129735
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	5.9299197699
PWY-6527: stachyose degradation	5.7499859232
PWY-7237: myo-, chiro- and scyllo-inositol degradation	5.5425560162
CALVIN-PWY: Calvin-Benson-Bassham cycle	5.5382493974
PWY-1042: glycolysis IV	5.5374588252
PWY-5686: UMP biosynthesis I	5.3545197300
PWY-7790: UMP biosynthesis II	5.3545197300
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	5.2755378072
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	5.2755378072
PWY-7185: UTP and CTP dephosphorylation I	5.2368124868
PWY-8178: pentose phosphate pathway (non-oxidative branch) II	5.0756377128
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	5.0366059050
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	4.9743729728
PWY66-394: aspirin triggered resolvin E biosynthesis	4.9255161390
PWY-7013: (S)-propane-1,2-diol degradation	4.9100161538
RHAMCAT-PWY: L-rhamnose degradation I	4.8957564110
PWY-4984: urea cycle	4.8870591382
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	4.8602305813
PWY-5695: inosine 5'-phosphate degradation	4.7074497748
PWY-6317: D-galactose degradation I (Leloir pathway)	4.6865410868
LIPASYN-PWY: phospholipases	4.6718314789
PWY-5484: glycolysis II (from fructose 6-phosphate)	4.6318335031
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	4.5823704699
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	4.5070016910
PWY-5941: glycogen degradation II	4.5035954197
PWY-5723: Rubisco shunt	4.4419464672
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	4.3493535016
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	4.3228801367
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	4.2935784444
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	4.2569977010
VALSYN-PWY: L-valine biosynthesis	4.2498545924
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	4.1242327779
PWY-7111: pyruvate fermentation to isobutanol (engineered)	4.1088691016
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	4.1072760761
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	4.0788450835
PWY-7791: UMP biosynthesis III	4.0119143168
PWY-4041: &gamma;-glutamyl cycle	3.8964486986
PWY-7345: superpathway of anaerobic sucrose degradation	3.8918767534
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	3.8594529585
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	3.8439723134
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	3.8439723134
PWY-5103: L-isoleucine biosynthesis III	3.8373968604
PWY-6124: inosine-5'-phosphate biosynthesis II	3.8276990498
PWY-5659: GDP-mannose biosynthesis	3.7718514624
PWY-6628: superpathway of L-phenylalanine biosynthesis	3.7610350905
COLANSYN-PWY: colanic acid building blocks biosynthesis	3.7367080558
PWY-7560: methylerythritol phosphate pathway II	3.7176729149
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	3.7069464794
GLUCONEO-PWY: gluconeogenesis I	3.6770617497
TRNA-CHARGING-PWY: tRNA charging	3.6631895958
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	3.6486894715
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	3.6439087136
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	3.6219266026
PWY66-399: gluconeogenesis III	3.5996244368
PWY-6630: superpathway of L-tyrosine biosynthesis	3.5464655991
ARO-PWY: chorismate biosynthesis I	3.5400671867
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	3.4356762334
PWY0-1477: ethanolamine utilization	3.3552123331
ANAEROFRUCAT-PWY: homolactic fermentation	3.2140248057
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	3.2084861901
NONMEVIPP-PWY: methylerythritol phosphate pathway I	3.1818587799
GLYCOCAT-PWY: glycogen degradation I	3.1752176879
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	3.1542981839
PWY-6123: inosine-5'-phosphate biosynthesis I	3.1331379460
PWY-6700: queuosine biosynthesis I (de novo)	3.0941103948
FERMENTATION-PWY: mixed acid fermentation	2.9908356897
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)	2.7416494146
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	2.7332245375
HISTSYN-PWY: L-histidine biosynthesis	2.6833590814
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	2.6798085575
PWY-5972: stearate biosynthesis I (animals)	2.6783569372
PWY-7238: sucrose biosynthesis II	2.6662384733
PWY-6936: seleno-amino acid biosynthesis (plants)	2.6504735054
PWY-7664: oleate biosynthesis IV (anaerobic)	2.5941580624
PWY-6353: purine nucleotides degradation II (aerobic)	2.5829925134
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	2.5549069509
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	2.4930454907
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	2.4437795296
PWY0-862: (5Z)-dodecenoate biosynthesis I	2.4325325635
P161-PWY: acetylene degradation (anaerobic)	2.4300282151
PWY-5989: stearate biosynthesis II (bacteria and plants)	2.3987576170
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	2.3885446620
PWY-7511: protein ubiquitination	2.3576393585
P42-PWY: incomplete reductive TCA cycle	2.3305433516
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	2.3022106289
FUCCAT-PWY: fucose degradation	2.2980747316
PWY-6151: S-adenosyl-L-methionine salvage I	2.2918436388
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	2.2734924578
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	2.2500031195
DARABCATK12-PWY: D-arabinose degradation I	2.2477791472
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	2.2344733651
PWY-5973: cis-vaccenate biosynthesis	2.2218144909
PWY66-201: nicotine degradation IV	2.1252441299
CITRULBIO-PWY: L-citrulline biosynthesis	2.1166124837
PWY-3001: superpathway of L-isoleucine biosynthesis I	2.0589351935
PWY-6857: retinol biosynthesis	2.0374390198
