# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR7947175_merged
READS_UNMAPPED	48648.0000000000
UniClust90_1818-OMCNLIBF_00732	2876.8388427305
UniClust90_3054-OPPDGPDN_00022	2774.2113398450
UniClust90_4119-GLJLLHIG_01069	2248.7188774923
UniRef90_A0A3R6AEQ3	1644.8242688085
UniClust90_1891-PLKJAGLC_02630	1465.5866486155
UniClust90_1507-LNPDEHAM_01681	1457.9757799703
UniClust90_2299-NAFCCEKI_02114	1410.8288409077
UniRef90_A0A172E6W9	1276.6888139051
UniClust90_59785-ODJFKNCL_01254	1201.2578788503
UniClust90_14297-KMFPNDGN_00781	1121.3869293430
UniRef90_UNK40204-OIFOBKIC_00578	1105.2260282467
UniRef90_R5JLF8	982.0379091161
UniRef90_K1T2J8	948.0614264962
UniClust90_1942-GBOKNFNA_04548	944.4735620435
UniRef90_J7TG29	919.6721755419
UniClust90_21709-IPIDJCME_03070	844.9608358170
UniRef90_A0A1H0C4R3	806.1229162357
UniRef90_A0A413I971	803.6299266263
UniClust90_1813-KDNNNNFF_01779	794.9515456686
UniClust90_14150-OBOCENOJ_02096	793.4932845055
UniClust90_1813-HLMLIPBN_02182	791.9704377841
UniRef90_Q49ZF2	782.8266413156
UniRef90_G7JRM2	779.1225618639
UniRef90_UNK1845-CBKALMGM_04133	771.0238813645
UniClust90_14110-IHKKKGPA_01447	768.8839986824
UniClust90_35744-AIHNLDFB_01220	764.8949292846
UniClust90_9387-FKJILCON_01010	748.3529536986
UniRef90_A0A069S9F3	747.6487968334
UniClust90_14151-GINECGFF_02724	747.5630646564
UniRef90_A0A015VYS4	736.5845684099
UniClust90_9228-EBDOEHNB_00319	721.5195808569
UniClust90_15108-MKEMNCAH_01098	700.0206682554
UniClust90_27780-KIEFNBAG_00163	689.6878346426
UniClust90_5684-ALNMDGMH_01457	680.7517051038
UniRef90_A0A0A2E2C8	667.1262335496
UniRef90_A0A413SUL1	662.2846999901
UniRef90_A0A355UGD0	660.5460951506
UniRef90_A0A350J958	660.3840536201
UniClust90_14263-MCADBMPD_00858	653.7128596836
UniClust90_14151-FFIAKLGG_00238	651.3718438291
UniClust90_32359-DLLBBKIK_02073	651.3718438291
UniClust90_1828-INGAJKEK_01697	651.1232286215
UniRef90_F3PDT4	636.8969139662
UniClust90_43288-PJMCAKKN_00829	633.7671994013
UniRef90_A0A0K6BQG7	629.3656385715
UniClust90_15013-PLFGGKGE_00658	628.5966045344
UniRef90_H1Q265	626.3190806049
UniRef90_A0A2M7I4G0	620.3379418584
UniClust90_1493-KEOGMPBH_01087	618.0521465984
UniClust90_4799-NFABOIEA_03032	617.0891152065
UniClust90_35937-BDEPDLAH_00281	613.9165541395
UniClust90_41446-BBOFLENI_00513	609.0749708532
UniClust90_9954-LHNBBPMD_00307	609.0749708532
UniClust90_4741-EGAFIACF_04396	604.1180313361
UniRef90_UPI000E49BB8E	603.1002957861
UniClust90_1930-CGNJEKMA_00552	602.8646247598
UniClust90_41625-GFMHMLAB_01768	597.2775727691
UniClust90_35814-NPMILCLN_01658	580.8331789878
UniRef90_U2ER47	579.7151763836
UniRef90_UNK15229-LPNCBMIO_01765	579.1958213396
UniClust90_2296-LAGJDGKK_01658	568.1710292977
UniRef90_B0MSE4	563.9619741993
UniClust90_1813-HLMLIPBN_01879	559.7705296398
UniClust90_40283-PMKALDJG_00148	551.7502677141
UniRef90_UNK1664-ALPJNDGC_00280	550.3641513419
UniClust90_27790-IPAEFCFJ_00502	549.2190345107
UniRef90_I3YK77	547.9372211417
UniRef90_A0A2I0N2U1	545.3345669267
UniRef90_A0A315ZTL4	539.0663535137
UniRef90_A0A355BHK1	539.0663535137
UniClust90_27789-PFALEEGP_03172	533.6366522108
UniRef90_A0A180FPJ6	531.6607061997
UniClust90_1526-EPMBCCHH_00409	531.0967050375
UniClust90_6146-HDKIFNFN_02276	528.6209188522
UniRef90_A0A078Q099	526.9525028730
UniClust90_87130-BLEPMJCG_00888	522.0566354926
UniClust90_4312-IKGFAEMB_02283	521.5598643061
UniClust90_103651-OJDDNAFN_01674	515.3711291835
UniClust90_78600-ACEGBPIP_00385	512.1382099839
UniClust90_81655-IHAELOCH_03402	509.7692690836
UniRef90_J0V8Y5	509.7692690836
UniClust90_4072-FKHJFNAF_01759	508.3915143023
UniClust90_40207-KGAJOGGJ_01424	504.2878790935
UniRef90_A0A2V6AI31	504.2878790935
UniClust90_1878-PECLBKDC_00053	498.9231144223
UniRef90_C8PMZ4	498.9231144223
UniRef90_D8GUM3	493.6712921652
UniRef90_A0A139KIP3	484.8998199066
UniClust90_1887-PAMIDOMI_02090	483.4925026360
UniRef90_UNK1845-DICOLEMM_02224	483.4228137840
UniRef90_C0FPL9	482.6293951547
UniClust90_102785-MHLLPCOE_02266	478.5589056704
UniClust90_40209-OGCCFELP_01676	478.5589056704
UniRef90_R9HQV1	477.4682415752
UniRef90_UNK20130-EMJNEFJB_00925	477.0888227575
UniClust90_1463-IBADCALM_00621	473.7733166137
UniClust90_1899-GJHFOBPN_00746	465.9348666361
UniClust90_14895-CDGGCBCB_00649	459.7918897617
UniClust90_6062-ALHAIJPC_00033	459.7918897617
UniRef90_A0A285PVJ3	457.5490024946
UniClust90_2133-IEMGGFEK_00164	456.0156323833
UniClust90_4924-DBIPNKCJ_03150	455.3278908320
UniRef90_A0A415N4Z1	453.0847242220
UniRef90_A0A413USE2	452.7488442166
UniRef90_UPI00092A8639	452.3096859809
UniClust90_25416-LHPMNDHK_01584	451.9128461140
UniRef90_A0A414GM97	450.9841058332
UniClust90_2293-KHMFLONP_01323	450.9497380355
UniRef90_A0A3B8U2W2	450.9497380355
UniRef90_A0A108T9C2	450.8251775388
UniClust90_40377-BKIDNMEC_01336	449.9330106089
UniClust90_37433-HPAFCBIC_00295	442.4412524122
UniClust90_5184-FKDAKJNI_00274	440.1902355140
UniRef90_A0A2N8J198	440.0741436816
UniRef90_A0A3N5M649	438.3158584876
UniClust90_4958-IKAMAPGG_02635	437.2996573534
UniClust90_41677-GDJGPJLF_01753	436.1777831164
UniRef90_A0A143XGQ5	435.4808253463
UniClust90_15254-DHAGNGNO_00211	430.2639702357
UniRef90_A0A139LIV5	430.2639702357
UniRef90_K6AU60	430.2639702357
UniRef90_UNK15252-CCAGDBJE_01142	429.7184226173
UniRef90_J9H545	427.5033480015
UniClust90_40209-OHFGBICD_01356	426.3524795972
UniRef90_M6UCA5	426.3524795972
UniRef90_A0A2I6QHE6	423.4846378062
UniClust90_14315-KPDIIKNJ_00906	422.5114662675
UniClust90_48103-CNOACAGM_03126	422.5114662675
UniRef90_A0A239TPY6	422.5114662675
UniRef90_S1R6T3	422.5114662675
UniClust90_12290-LMJGEGCL_02369	421.4643182220
UniClust90_41576-JFJENGAL_02468	421.4296407780
UniClust90_41439-LDBNIAEK_01946	420.1489382274
UniClust90_1917-FDAINOLO_00766	419.7573945496
UniClust90_6629-MAMEGABH_00723	417.9353833781
UniClust90_1939-NBNLDBDH_00316	417.2716502613
UniClust90_28244-DOMIGIEM_01735	416.9109211604
UniClust90_1930-OEGKNLDM_01888	415.0333872185
UniRef90_A0A0U1CS47	415.0333872185
UniClust90_15272-NGBKFHFC_01274	411.9157569285
UniClust90_1917-OKOAKJLN_01272	411.3927434710
UniRef90_A6L565	409.9793465054
UniClust90_40732-CEHJHGOG_00525	409.4054145086
UniClust90_15133-ADDFFGFJ_01109	407.8154152669
UniRef90_S3YI06	406.0499805688
UniClust90_49997-LFMILECE_00405	404.2997651353
UniClust90_4673-DNBHLECP_00429	404.0472541684
UniRef90_Q8A9C2	400.8853885777
UniRef90_F3PU20	400.8798660184
UniClust90_42083-ACPKOMKP_02531	400.8442115871
UniClust90_63182-EGMEDAFH_01251	400.8442115871
UniRef90_A0A3S4TGY4	399.1853703197
UniClust90_2278-KKMAFLPD_00366	397.4472267432
UniRef90_A0A0P0M5X8	395.9113189341
UniRef90_UPI00097D15D4	394.3768414322
UniClust90_6141-EPLOAIGP_01757	394.1073340815
UniRef90_UNK1835-CHPLNFGI_00907	391.9034644340
UniClust90_15159-EBPGLOAP_01375	390.8231062975
UniClust90_2302-HNBICMIK_00644	390.8231062975
UniClust90_4826-NMCHBCPO_01905	390.8231062975
UniRef90_A0A116MR50	390.8231062975
UniRef90_A0A3D4QPX8	390.8231062975
UniRef90_A0A405FTH9	390.8231062975
UniRef90_B0P5R4	390.8231062975
UniRef90_A0A174S112	388.2353590696
UniRef90_A0A0E9G982	388.0632656991
UniRef90_A0A139K2U9	387.9629619774
UniRef90_W6PCV4	387.7671763733
UniRef90_A0A408EA95	387.5931632702
UniClust90_69981-LPDCKLMI_00895	387.0737904790
UniRef90_A0A139JWZ8	385.8012364900
UniRef90_A0A449PM13	385.5877988631
UniRef90_A0A412Q892	385.1707788640
UniRef90_A0A0P0LH34	384.9263717362
UniRef90_UNK36997-HABJADAI_02294	384.4161701287
UniRef90_W6NZ25	384.4161701287
UniRef90_A0A0P0F1L8	383.7372371443
UniRef90_A0A3E4N3Z3	382.7113432604
UniClust90_1934-OOMCKDKL_03668	381.8699252811
UniRef90_A0A174C2D7	381.7833899625
UniClust90_1797-OAHNJPKH_01852	381.3477053002
UniClust90_15015-MNJMAEDN_00333	381.2908354122
UniClust90_4572-FIDNHDDI_01808	381.2908354122
UniClust90_6961-EHOKEMGO_02856	381.2908354122
UniClust90_1416-PFJGKDNH_00285	378.2159093201
UniClust90_20171-CMPPICIC_01607	378.2159093201
UniClust90_42083-ACPKOMKP_00833	377.6606261153
UniClust90_40184-ABALLAKF_00411	375.1901820456
UniClust90_4877-JIDFMLNF_01992	375.1901820456
UniClust90_7753-JOJJAHNA_02181	375.1901820456
UniRef90_A0A3G2C7N5	375.1901820456
UniClust90_1828-FAHBPBDB_01846	374.7298612946
UniRef90_A0A180FHJ0	373.1486470838
UniRef90_A0A1V5J6D9	372.2124821881
UniRef90_A0A081TVQ6	371.7523826594
UniRef90_A0A108THE8	371.5445489599
UniRef90_A0A0P0M5V9	371.4243645757
UniRef90_T2JPW6	369.2816752417
UniClust90_1878-HHDFHIHC_03144	368.2519760849
UniClust90_15272-PIMMBMJO_00350	366.3966621539
UniClust90_16986-CEBGMLDC_00781	366.3966621539
UniClust90_41731-GPMIJFLE_00997	366.3966621539
UniRef90_A0A133ZJ74	366.3966621539
UniRef90_UNK16986-CEBGMLDC_00781	366.3966621539
UniRef90_I9S795	365.7950255986
UniRef90_A0A0S2W7I1	364.3404293025
UniClust90_83646-MPMAMGJJ_01679	363.5563779511
UniRef90_A0A417FT41	363.5563779511
UniRef90_B3JDZ6	363.1160299754
UniRef90_A0A0P0FBJ1	361.6906032329
UniClust90_40817-BJFIOJPJ_01307	361.3466519627
UniRef90_A0A174LSE9	360.7597904284
UniRef90_UNK35746-LGCFINOA_01989	360.7597904284
UniRef90_A0A174JDR5	360.4099989178
UniClust90_102167-KMJJCBLL_01309	360.0170496834
UniClust90_43257-AJKPMADD_00933	358.0058988984
UniClust90_7594-DHIEBEEG_03121	358.0058988984
UniClust90_79687-GEABBFIB_02967	358.0058988984
UniRef90_A0A0D0SDV4	358.0058988984
UniClust90_2302-MICHJBCD_01687	357.4458939975
UniRef90_A0A0J9I2L5	355.9258899758
UniClust90_40607-CHPJOJHL_01936	355.2937329977
UniClust90_72997-GBAOEBMO_00629	355.2937329977
UniClust90_2073-DLMKFGJN_01788	354.9583618432
UniClust90_40196-IMDDKGIM_01010	354.6842052348
UniRef90_A0A0P0M522	352.7537185084
UniClust90_14243-HGDKOGOG_00066	352.6223515466
UniClust90_37021-NCKIDCJK_00769	352.6223515466
UniClust90_94881-NMCKOOBA_00142	352.6223515466
UniRef90_A0A174TBW0	352.6223515466
UniRef90_A0A373STG0	352.6223515466
UniRef90_UNK15099-GCHPBACJ_00282	352.6223515466
UniClust90_1823-LBAPFPKA_01013	351.2942907748
UniClust90_4877-NNNOHJEM_01869	349.9908414604
UniClust90_6576-BKDPBOFF_00636	349.9908414604
UniClust90_35515-MKBOJGGG_01201	347.3983167089
UniClust90_14893-CIBMCJFG_01203	347.0989091471
UniRef90_A0A0S2W722	345.6370735146
UniClust90_2290-IIDOJGPB_01671	344.8439173213
UniClust90_2296-FDJIIFNO_00854	344.8439173213
UniClust90_4471-JMBEGNDE_00860	344.8439173213
UniClust90_4501-EJPEOBBI_00696	344.8439173213
UniRef90_A0A1Q6RT48	344.8439173213
UniRef90_B9YBY3	344.7049084594
UniClust90_35725-LOMJFFOD_01944	344.5356583603
UniRef90_B5CSV1	344.4738998843
UniClust90_15102-GAOHJENJ_00164	342.3678509881
UniClust90_41409-MHGACILG_02199	342.3268084357
UniClust90_4448-LFEPFNDE_01287	342.3268084357
UniRef90_A0A108T8A9	342.1432657371
UniClust90_15111-NDHMDHJA_00656	341.6285894209
UniRef90_A0A174RFL8	337.3864059785
UniRef90_A0A379MPZ0	337.3368323052
UniClust90_35616-AHAHKMKE_01410	336.2610369120
UniClust90_27790-LJKHEBMP_02390	336.1962384080
UniClust90_40817-FDKLBMFA_00117	335.2900664706
UniClust90_15368-LCFGBNGK_00323	334.9912339693
UniClust90_21455-GFEGNNBJ_02376	334.9912339693
UniRef90_J9G771	334.9912339693
UniClust90_1701-FKJCCFKB_01127	334.6333373518
UniRef90_A0A078RFD0	333.6948890343
UniClust90_35534-JHAOGNIJ_01258	332.6154096149
UniClust90_4671-PPMFLFPD_02367	332.6154096149
UniClust90_4757-HBDNGKNG_02963	332.6154096149
UniRef90_A0A0P0FN34	332.1109794571
UniRef90_A0A0P0L0W7	331.4168665856
UniRef90_A0A0P0L6B0	330.3099052071
UniClust90_1930-ANAMEMLG_00632	330.2730475753
UniRef90_A0A1J0LLU8	330.2730475753
UniRef90_UNK5051-FBDDLMNE_01038	330.2730475753
UniRef90_UPI001021FD46	328.4493176156
UniClust90_35595-DLEFIOBB_02030	327.9634458440
UniClust90_61313-GLLJMGBM_01698	327.9634458440
UniRef90_A0A3N6C0J5	327.9634458440
UniRef90_A0A417L4K1	327.7447324205
UniClust90_63647-AFCFPIGF_01552	326.9636180118
UniRef90_P10337	326.4413265353
UniRef90_E8UFZ7	326.1697312567
UniRef90_F9D1F0	326.1244653618
UniRef90_J9CT31	325.9457051334
UniClust90_49927-LKPKACDM_01359	325.6859219146
UniRef90_A0A404RRT7	325.6859219146
UniRef90_UNK1836-JEGHMHEP_03198	325.6859219146
UniClust90_15097-GGOBHOLE_01739	325.4356830195
UniClust90_27814-NBOIIMBC_01652	324.7594670912
UniClust90_1532-NDHFIIDH_00850	323.4398121082
UniClust90_4042-FKNCLMIP_01235	323.4398121082
UniRef90_UNK15090-PJIEHEPE_01013	322.4670894748
UniClust90_40817-JLLCELBK_01775	321.5299213379
UniRef90_Q8A2U3	321.0773433553
UniRef90_Q9F768	320.8195394429
UniClust90_14941-ABCOCBCD_00289	319.0392704469
UniClust90_1878-NDEJBJBL_01221	319.0392704469
UniRef90_A0A212J9T9	319.0392704469
UniRef90_A0A407PXG9	319.0392704469
UniRef90_UNK40203-FPDJIJGM_00366	319.0392704469
UniRef90_UNK1949-AAOOIDAI_02702	318.8606676622
UniClust90_1878-PJAOOBFH_03570	318.1189170237
UniRef90_A0A174N3R8	317.5799718776
UniClust90_14927-AKOPFFGP_00518	316.8835997006
UniClust90_35810-HPIIGDAN_01020	316.8835997006
UniClust90_61016-LAPAPFPN_00100	315.5957150451
UniRef90_A0A0P0LE22	313.4248962358
UniRef90_A0A380ZLJ4	313.2466927165
UniClust90_21449-MIAOIONG_00717	312.7453587487
UniClust90_15075-MHIAGGFD_00033	312.6584850380
UniRef90_A0A401M1U1	311.9281388658
UniClust90_1857-FLPDHFPA_03005	311.4807468905
UniRef90_A0A0T9AEG2	311.3905932216
UniClust90_43259-ALPOHGDH_01354	310.5878990443
UniRef90_A0A357B044	310.5878990443
UniRef90_T0T4A2	310.5878990443
UniRef90_Q8A0F4	309.4972283399
UniClust90_41510-BPHIGPKH_00822	308.5445576033
UniRef90_C9PZU5	308.5445576033
UniClust90_1887-PCMIEHDP_01312	306.5279265078
UniRef90_A0A2N5ZFI1	306.5279265078
UniRef90_UNK2299-OJHDIAPI_00073	306.5279265078
UniRef90_A0A3E5F0C2	305.3953081567
UniClust90_15385-PABCMHBL_01613	304.5374854266
UniClust90_15394-MBJHLOGC_01005	304.5374854266
UniClust90_40800-ENCOHHHH_01902	304.4735015865
UniRef90_A0A173UG62	303.6100839597
UniRef90_A0A139KH41	303.3987050278
UniRef90_A0A2X1K6N2	302.5727274561
UniRef90_A0A330EL10	302.5727274561
UniRef90_UNK35926-CLGFEDKD_00037	302.5727274561
UniClust90_4960-LPLNGJGJ_00701	301.6994710189
UniRef90_A0A0G0EAM0	300.6331586904
UniRef90_A0A174VSZ3	300.6331586904
UniClust90_40285-LPGDKCEC_01312	299.3236857668
UniClust90_1942-GEADOODB_04336	298.7182978070
UniRef90_R9J5X4	298.7182978070
UniRef90_UNK15085-CGIGKMOH_00280	298.7182978070
UniRef90_UNK4574-ACJBBCCG_00689	298.7182978070
UniRef90_F9D4R5	298.3017485165
UniRef90_J9G9K7	297.8780594228
UniRef90_A0A0P0M1H0	297.6609522907
UniClust90_1835-BDHDLFEA_01799	297.2654920532
UniClust90_4895-IAAGNFJB_00517	296.8276756690
UniRef90_A0A353RJC4	296.8276756690
UniRef90_T0TG37	296.8276756690
UniRef90_UNK15256-KBPEFFMN_00960	296.8276756690
UniRef90_A0A139TM69	295.4260728515
UniClust90_15275-HOPFLLBH_01061	294.9608349415
UniClust90_1863-ELHKOOHO_01007	294.9608349415
UniClust90_51879-GJGOGAFG_00100	294.9608349415
UniRef90_A0A1F0V4V3	294.9608349415
UniRef90_A0A2G6QUV9	294.7789047411
UniRef90_A0A0P0M1N2	293.8168383666
UniClust90_43493-MALHJJBA_01048	293.1173297231
UniClust90_4681-JDILGADA_00087	293.1173297231
UniRef90_A0A318CFP2	293.1173297231
UniRef90_UPI000F8C5B80	293.1173297231
UniClust90_1704-IGDDFFJP_01433	292.8660406087
UniClust90_3613-IIBMOEGO_01291	292.8617314302
UniRef90_E0NRB9	292.7642234658
UniClust90_14857-KMIFDCMO_00954	291.9828470853
UniClust90_1858-AGMNEGDM_01620	291.2967251907
UniClust90_37388-AGBNBKGM_01352	291.2967251907
UniClust90_40375-FIDFJGMM_01256	291.2967251907
UniRef90_I3YI37	289.6839476143
UniClust90_35892-FFCGNFDH_01811	289.4985972574
UniClust90_37118-ADAOAKOO_01739	289.4985972574
UniClust90_94994-FAGCOANO_01512	289.4985972574
UniClust90_41453-APBAKCDM_01001	288.5638444255
UniClust90_40208-HEKLDLJC_01354	287.8870159973
UniClust90_15134-PNKJLGMB_01619	285.9681265591
UniClust90_40205-PHDLPHPP_00156	285.9681265591
UniClust90_41560-CDJBIKCA_01077	285.9681265591
UniRef90_A6L5Q9	285.9681265591
UniClust90_4903-ILGPNCJM_03060	284.6826871339
UniRef90_A0A358PEM6	284.2349863982
UniRef90_A0A3B8U7X3	284.2349863982
UniRef90_UNK1815-FIJEFOCF_01798	283.7848980008
UniClust90_15124-HCMOFBKP_00844	282.5227274440
UniRef90_UNK15124-HCMOFBKP_00844	282.5227274440
UniRef90_UNK1585-OBJGDBAD_01003	282.5227274440
UniClust90_5071-IBNBHIBE_01287	281.7149590549
UniClust90_35739-JGFCKMNL_01605	280.8712587485
UniClust90_27838-FBADFPBB_00487	280.8309745850
UniClust90_4481-BBPJNHCA_02374	280.8309745850
UniRef90_A0A0F0CKK3	280.8309745850
UniRef90_J9GIN0	280.8309745850
UniRef90_A0A0P0G4J8	280.6613507453
UniClust90_2321-OCGGCMIG_00574	280.3817551893
UniRef90_A0A0N7IET5	280.3411073635
UniRef90_A0A173TYR4	279.7664231502
UniRef90_Q8A005	279.4956653513
UniRef90_A0A139KEM3	279.1593616410
UniClust90_15106-CFPNHMHG_00380	278.1192447651
UniClust90_15837-OPFAGFIA_02388	277.5075310988
UniRef90_A0A353MRS9	277.5075310988
UniClust90_40102-CLELBHFI_00598	276.8840815775
UniRef90_A0A174EAD3	276.1793697776
UniRef90_A0A090PJU5	276.0462479285
UniClust90_14963-IIDIEDAC_02999	275.8751338570
UniClust90_2296-CNCLDILP_00231	275.8751338570
UniClust90_6385-AIIEGBMK_01336	275.8751338570
UniRef90_A0A1M6IXL1	275.8751338570
UniRef90_A0A3D5EUL0	275.8751338570
UniRef90_A0A3Z6G6F8	275.8751338570
UniRef90_K6BK37	275.8751338570
UniRef90_UNK15090-NJMEHADB_01174	275.8751338570
UniRef90_UPI000C9B655F	275.8751338570
UniRef90_K1TP65	275.1206862007
UniRef90_Q8A528	275.0767372455
UniRef90_R5B2I6	274.7629249626
UniRef90_UPI0009FB01C4	274.4119808802
UniClust90_1705-DCFJGKFJ_01002	274.2618289807
UniClust90_4657-KKFLAGEC_01658	274.2618289807
UniClust90_43506-FBEAEEMA_01126	274.1705441280
UniRef90_A0A174ISJ1	273.3407712774
UniClust90_15085-IFOBGMAP_01064	272.6672834633
UniClust90_1563-GDJCEFJK_01707	272.6672834633
UniRef90_I5BTJ9	272.6672834633
UniRef90_L1IV71	272.6672834633
UniRef90_A0A3B8VZI6	271.7530603819
UniClust90_105436-BJFHONOM_00878	271.0911719982
UniClust90_5063-MCOMNMGD_02376	271.0911719982
UniRef90_A0A174QXA6	271.0911719982
UniRef90_A0A2H0PCH1	271.0911719982
UniRef90_A5EXN0	271.0911719982
UniClust90_41545-BJPPCEDP_01958	270.9036235096
UniClust90_2285-KPNLKELE_01176	270.7833321689
UniRef90_UNK4422-ECKKGLJB_00385	270.0467859586
UniRef90_A0A357CXW2	269.9917785344
UniRef90_D1NFR0	269.8357968806
UniRef90_F9D1H5	269.7481776099
UniClust90_15158-JGKPBPFL_00205	269.5331767569
UniClust90_1980-EKANFGLH_00744	269.5331767569
UniRef90_A0A379UYR4	269.5331767569
UniRef90_K1TN49	269.5331767569
UniRef90_A0A174H4M2	268.7835651169
UniClust90_4706-JLFKKGBD_00833	267.9929871754
UniRef90_UNK42689-GOFGECNC_00814	267.9929871754
UniRef90_A0A139JRS5	267.0843903111
UniRef90_L8ITW8	266.4702997483
UniClust90_63259-GGMMCFOC_00518	265.3656049482
UniClust90_6139-NOCDKGFC_00629	265.1126837311
UniClust90_1933-LEDMGJGF_00404	264.9648178288
UniClust90_20397-LMLLKEEC_00819	264.9648178288
UniClust90_2302-PHIIKGME_01533	264.9648178288
UniClust90_5254-ONOMNCFD_01876	264.9648178288
UniRef90_A0A3D1M4G0	264.9648178288
UniClust90_1949-GNIAOHPH_01504	264.7912489361
UniClust90_15084-IGKCEPGC_00961	263.4762514365
UniClust90_37161-IMPOIKBB_01314	263.4762514365
UniClust90_40318-BBLMDLDI_00182	263.4762514365
UniRef90_UNK37161-IMPOIKBB_01314	263.4762514365
UniRef90_UPI000E5B7F8A	263.4762514365
UniRef90_A0A174SZK2	263.3112342850
UniRef90_A0A173VRK7	262.9613762749
UniRef90_A0A174EXZ1	262.8616907498
UniRef90_A0A174NN45	262.5650737594
UniRef90_A0A143XWW8	262.4711536484
UniClust90_41485-ACIAGNJH_01296	262.0043170709
UniClust90_4620-CKJHCEKK_00612	262.0043170709
UniRef90_C7GAE0	262.0043170709
UniClust90_1928-OLIEAGMN_02032	260.9721972862
UniRef90_A0A0N7J7W7	260.5827904001
UniClust90_2276-MFMNBNFF_00492	260.5487375316
UniClust90_5548-ELBDPCAF_00514	260.5487375316
UniRef90_A0A1G1GF73	260.5487375316
UniRef90_A0A3D0PQZ6	260.5487375316
UniRef90_A0A1C5VKB4	259.1092417442
UniRef90_A0A2P1BVE8	259.1092417442
UniRef90_A0A3R1XA23	259.1092417442
UniRef90_A0A1C5KXE6	258.8394458714
UniRef90_W6PNY1	258.7162929631
UniRef90_A0A076IS78	258.3455158013
UniClust90_1802-KLAGFDMI_01561	258.1953889254
UniClust90_14148-KGICFEGM_01587	257.6855645917
UniClust90_2325-MCFHMPMJ_00951	257.6855645917
UniClust90_3989-HKOIAMON_00105	257.6855645917
UniRef90_A0A0P8CID9	257.6855645917
UniClust90_5103-FIHKMDAG_00249	257.3041028050
UniRef90_A0A417PAV7	257.0104430756
UniClust90_43303-MNOJNLHF_00851	256.9843793820
UniRef90_Q8A8D9	256.7332900486
UniRef90_A0A0P0L2B5	256.7255242666
UniRef90_A0A0P0FRA8	256.5414196177
UniRef90_A0A174RMD1	256.2774467524
UniRef90_A0A174UIW4	256.2774467524
UniClust90_35744-FBHKLMBA_00334	256.2601859421
UniClust90_40209-DHPCPCBF_00568	255.9676608278
UniClust90_1810-LJICCOAC_01772	255.8243003815
UniRef90_A0A174INL8	255.0848168516
UniClust90_42345-LBGBHADG_02294	254.8846345418
UniRef90_A0A0D0RIS0	254.8846345418
UniRef90_A0A1H9Q1U0	254.8846345418
UniRef90_K1TBM8	254.8846345418
UniRef90_UNK35754-EGBOGMML_02118	254.8846345418
UniRef90_J9G0F3	254.8389354724
UniRef90_A0A174Y214	254.1771350253
UniRef90_Q8A7Z7	253.8016811947
