# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	SRR7947175_merged
READS_UNMAPPED	0.0522899
UniClust90_3054-OPPDGPDN_00022	0.0033661
UniClust90_1818-OMCNLIBF_00732	0.00297331
UniClust90_4119-GLJLLHIG_01069	0.0025113
UniRef90_A0A3R6AEQ3	0.00199575
UniClust90_2299-NAFCCEKI_02114	0.00171184
UniClust90_1507-LNPDEHAM_01681	0.00152055
UniClust90_59785-ODJFKNCL_01254	0.00145755
UniRef90_UNK40204-OIFOBKIC_00578	0.00134103
UniRef90_R5JLF8	0.00119156
UniRef90_K1T2J8	0.00115033
UniClust90_1942-GBOKNFNA_04548	0.00114598
UniRef90_A0A1H0C4R3	0.000978113
UniRef90_A0A413I971	0.000975088
UniClust90_1813-KDNNNNFF_01779	0.000964558
UniClust90_1813-HLMLIPBN_02182	0.000960941
UniRef90_Q49ZF2	0.000949846
UniClust90_14110-IHKKKGPA_01447	0.000932929
UniClust90_35744-AIHNLDFB_01220	0.000928089
UniClust90_9387-FKJILCON_01010	0.000908017
UniRef90_A0A069S9F3	0.000907163
UniClust90_14151-GINECGFF_02724	0.000907059
UniRef90_A0A015VYS4	0.000893738
UniClust90_1891-PLKJAGLC_02630	0.000889138
UniClust90_9228-EBDOEHNB_00319	0.000875459
UniClust90_14297-KMFPNDGN_00781	0.000874274
UniClust90_15108-MKEMNCAH_01098	0.000849373
UniClust90_27780-KIEFNBAG_00163	0.000836836
UniClust90_5684-ALNMDGMH_01457	0.000825993
UniRef90_A0A0A2E2C8	0.00080946
UniClust90_21709-IPIDJCME_03070	0.000808869
UniRef90_A0A355UGD0	0.000801476
UniRef90_A0A350J958	0.00080128
UniRef90_G7JRM2	0.000800267
UniClust90_14263-MCADBMPD_00858	0.000793185
UniClust90_14151-FFIAKLGG_00238	0.000790345
UniClust90_32359-DLLBBKIK_02073	0.000790345
UniClust90_1828-INGAJKEK_01697	0.000790043
UniRef90_F3PDT4	0.000772782
UniClust90_43288-PJMCAKKN_00829	0.000768984
UniClust90_15013-PLFGGKGE_00658	0.00076271
UniClust90_14150-OBOCENOJ_02096	0.000761472
UniRef90_H1Q265	0.000759947
UniRef90_A0A172E6W9	0.000758731
UniRef90_A0A2M7I4G0	0.00075269
UniClust90_1493-KEOGMPBH_01087	0.000749916
UniClust90_4799-NFABOIEA_03032	0.000748748
UniClust90_41446-BBOFLENI_00513	0.000739024
UniClust90_9954-LHNBBPMD_00307	0.000739024
UniRef90_A0A413SUL1	0.000728513
UniClust90_41625-GFMHMLAB_01768	0.000724709
UniClust90_35814-NPMILCLN_01658	0.000704756
UniRef90_U2ER47	0.0007034
UniRef90_UNK15229-LPNCBMIO_01765	0.00070277
UniRef90_A0A0K6BQG7	0.000690677
UniClust90_2296-LAGJDGKK_01658	0.000689393
UniRef90_B0MSE4	0.000684286
UniClust90_1813-HLMLIPBN_01879	0.0006792
UniClust90_40283-PMKALDJG_00148	0.000669469
UniRef90_UNK1664-ALPJNDGC_00280	0.000667787
UniClust90_27790-IPAEFCFJ_00502	0.000666397
UniRef90_UPI000E49BB8E	0.000665836
UniRef90_I3YK77	0.000664842
UniRef90_A0A2I0N2U1	0.000661684
UniRef90_A0A355BHK1	0.000654078
UniClust90_1930-CGNJEKMA_00552	0.000650772
UniClust90_27789-PFALEEGP_03172	0.00064749
UniClust90_1526-EPMBCCHH_00409	0.000644408
UniClust90_6146-HDKIFNFN_02276	0.000641404
UniRef90_A0A078Q099	0.00063938
UniRef90_UNK1845-CBKALMGM_04133	0.000637594
UniClust90_103651-OJDDNAFN_01674	0.000625328
UniClust90_81655-IHAELOCH_03402	0.000618531
UniRef90_J0V8Y5	0.000618531
UniClust90_4072-FKHJFNAF_01759	0.000616859
UniClust90_40207-KGAJOGGJ_01424	0.00061188
UniClust90_4774-HHJOOALD_02183	0.00061188
UniRef90_A0A2V6AI31	0.00061188
UniClust90_1878-PECLBKDC_00053	0.000605371
UniRef90_C8PMZ4	0.000605371
UniRef90_D8GUM3	0.000598998
UniRef90_A0A139KIP3	0.000588355
UniClust90_1887-PAMIDOMI_02090	0.000586648
