# Reaction HUMAnN v4.0.0.alpha.1	SRR7947168	SRR7947171	SRR7947175	SRR7947187
UNMAPPED	0.651396	0.730242	0.633079	0.60412
UNGROUPED	0.0284234	0.0188208	0.0293852	0.0361293
DNA-DIRECTED-RNA-POLYMERASE-RXN	0.0167396	0.0152822	0.0226068	0.0191669
3.1.26.5-RXN	0.00931086	0.00655942	0.0113308	0.00982747
RXN0-6480	0.00931086	0.00655942	0.0113308	0.00982747
2.7.13.3-RXN	0.0040011	0.00213631	0.00406355	0.00492997
2.1.1.86-RXN	0.00186995	0.000719419	0.00113223	0.00319566
DNA-DIRECTED-DNA-POLYMERASE-RXN	0.00117879	0.000368759	0.00123383	0.00124294
RXN-20927	0.00117879	0.000368759	0.00123383	0.00124294
PEPTIDYLPROLYL-ISOMERASE-RXN	0.00112673	0.000708561	0.00137796	0.00128928
3.2.1.17-RXN	0.00111184	0.000875284	0.00132394	0.00105269
5.99.1.3-RXN	0.00106341	0.000346293	0.000645618	0.00138371
ATPSYN-RXN	0.000826043	0.000348321	0.000858388	0.00147436
CARBPSYN-RXN	0.000725679	0.000473341	0.000665264	0.000765094
3.2.1.21-RXN	0.000686409	0.000306064	0.000639736	0.000426298
RXN-10769	0.000686409	0.000306064	0.000639736	0.000426298
RXN-10773	0.000686409	0.000306064	0.000639736	0.000426298
RXN-13602	0.000686409	0.000306064	0.000639736	0.000426298
RXN-13603	0.000686409	0.000306064	0.000639736	0.000426298
RXN-14179	0.000686409	0.000306064	0.000639736	0.000426298
RXN-18846	0.000686409	0.000306064	0.000639736	0.000426298
RXN-21055	0.000686409	0.000306064	0.000639736	0.000426298
RXN-5341	0.000686409	0.000306064	0.000639736	0.000426298
RXN-8036	0.000686409	0.000306064	0.000639736	0.000426298
RXN-9674	0.000686409	0.000306064	0.000639736	0.000426298
RXN18C3-14	0.000686409	0.000306064	0.000639736	0.000426298
3.2.1.23-RXN	0.000668461	0.000242098	0.00120664	0.000705744
KETOLACTOSE-RXN	0.000668461	0.000242098	0.00120664	0.000705744
RXN-12398	0.000668461	0.000242098	0.00120664	0.000705744
RXN-12399	0.000668461	0.000242098	0.00120664	0.000705744
RXN-12400	0.000668461	0.000242098	0.00120664	0.000705744
RXN-19765	0.000668461	0.000242098	0.00120664	0.000705744
2PGADEHYDRAT-RXN	0.000623094	0.000222977	0.000165993	0.000193374
GMP-SYN-GLUT-RXN	0.000602679	0.000137782	0.000510613	0.000514075
