# ResFinder phenotype results.
# Sample: ERR13731435_merged.fastq.gz
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match = 100% ID AND match length < ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
gentamicin	aminoglycoside	No resistance	0	
tobramycin	aminoglycoside	No resistance	0	
streptomycin	aminoglycoside	Resistant	2	ant(6)-Ia (ant(6)-Ia_KF864551)
amikacin	aminoglycoside	No resistance	0	
isepamicin	aminoglycoside	No resistance	0	
dibekacin	aminoglycoside	No resistance	0	
kanamycin	aminoglycoside	No resistance	0	
neomycin	aminoglycoside	No resistance	0	
lividomycin	aminoglycoside	No resistance	0	
paromomycin	aminoglycoside	No resistance	0	
ribostamycin	aminoglycoside	No resistance	0	
unknown aminoglycoside	aminoglycoside	No resistance	0	
butiromycin	aminoglycoside	No resistance	0	
butirosin	aminoglycoside	No resistance	0	
hygromycin	aminoglycoside	No resistance	0	
netilmicin	aminoglycoside	No resistance	0	
apramycin	aminoglycoside	No resistance	0	
sisomicin	aminoglycoside	No resistance	0	
arbekacin	aminoglycoside	No resistance	0	
kasugamycin	aminoglycoside	No resistance	0	
astromicin	aminoglycoside	No resistance	0	
fortimicin	aminoglycoside	No resistance	0	
spectinomycin	aminocyclitol	No resistance	0	
fluoroquinolone	quinolone	No resistance	0	
ciprofloxacin	quinolone	No resistance	0	
unknown quinolone	quinolone	No resistance	0	
nalidixic acid	quinolone	No resistance	0	
amoxicillin	beta-lactam	No resistance	0	
amoxicillin+clavulanic acid	beta-lactam	No resistance	0	
ampicillin	beta-lactam	No resistance	0	
ampicillin+clavulanic acid	beta-lactam	No resistance	0	
cefepime	beta-lactam	No resistance	0	
cefixime	beta-lactam	No resistance	0	
cefotaxime	beta-lactam	No resistance	0	
cefoxitin	beta-lactam	No resistance	0	
ceftazidime	beta-lactam	No resistance	0	
ertapenem	beta-lactam	No resistance	0	
imipenem	beta-lactam	No resistance	0	
meropenem	beta-lactam	No resistance	0	
piperacillin	beta-lactam	No resistance	0	
piperacillin+tazobactam	beta-lactam	No resistance	0	
unknown beta-lactam	beta-lactam	Resistant	2	cfxA5 (cfxA5_AY769934)
aztreonam	beta-lactam	No resistance	0	
cefotaxime+clavulanic acid	beta-lactam	No resistance	0	
temocillin	beta-lactam	No resistance	0	
ticarcillin	beta-lactam	No resistance	0	
ceftazidime+avibactam	beta-lactam	No resistance	0	
penicillin	beta-lactam	No resistance	0	
ceftriaxone	beta-lactam	No resistance	0	
ticarcillin+clavulanic acid	beta-lactam	No resistance	0	
cephalothin	beta-lactam	No resistance	0	
piperacillin+clavulanic acid	beta-lactam	No resistance	0	
ceftiofur	under_development	No resistance	0	
sulfamethoxazole	folate pathway antagonist	No resistance	0	
trimethoprim	folate pathway antagonist	No resistance	0	
fosfomycin	fosfomycin	No resistance	0	
vancomycin	glycopeptide	No resistance	0	
teicoplanin	glycopeptide	No resistance	0	
bleomycin	glycopeptide	No resistance	0	
lincomycin	lincosamide	Resistant	1	erm(B) (erm(B)_X72021)
clindamycin	lincosamide	Resistant	1	erm(B) (erm(B)_X72021)
dalfopristin	streptogramin a	No resistance	0	
pristinamycin iia	streptogramin a	No resistance	0	
virginiamycin m	streptogramin a	No resistance	0	
quinupristin+dalfopristin	streptogramin a	No resistance	0	
tiamulin	pleuromutilin	No resistance	0	
carbomycin	macrolide	No resistance	0	
erythromycin	macrolide	Resistant	2	msr(D) (msr(D)_AF274302), erm(B) (erm(B)_X72021)
azithromycin	macrolide	Resistant	2	msr(D) (msr(D)_AF274302)
oleandomycin	macrolide	No resistance	0	
spiramycin	macrolide	No resistance	0	
tylosin	macrolide	No resistance	0	
telithromycin	macrolide	Resistant	2	msr(D) (msr(D)_AF274302)
tetracycline	tetracycline	Resistant	3	tet(40) (tet(40)_AM419751), tet(O) (tet(O)_Y07780), tet(Q) (tet(Q)_L33696), tet(Q) (tet(Q)_X58717), tet(W) (tet(W)_AJ427422), tet(O/32/O) (tet(O/32/O)_FP929050)
doxycycline	tetracycline	Resistant	3	tet(40) (tet(40)_AM419751), tet(O) (tet(O)_Y07780), tet(Q) (tet(Q)_L33696), tet(Q) (tet(Q)_X58717), tet(W) (tet(W)_AJ427422), tet(O/32/O) (tet(O/32/O)_FP929050)
minocycline	tetracycline	Resistant	3	tet(O) (tet(O)_Y07780), tet(Q) (tet(Q)_L33696), tet(Q) (tet(Q)_X58717), tet(W) (tet(W)_AJ427422), tet(O/32/O) (tet(O/32/O)_FP929050)
tigecycline	tetracycline	No resistance	0	
quinupristin	streptogramin b	Resistant	2	msr(D) (msr(D)_AF274302), erm(B) (erm(B)_X72021)
pristinamycin ia	streptogramin b	Resistant	2	msr(D) (msr(D)_AF274302), erm(B) (erm(B)_X72021)
virginiamycin s	streptogramin b	Resistant	2	msr(D) (msr(D)_AF274302), erm(B) (erm(B)_X72021)
linezolid	oxazolidinone	No resistance	0	
chloramphenicol	amphenicol	Resistant	2	cat (cat_M35190), catS (catS_X74948), catP (catP_U15027)
florfenicol	amphenicol	No resistance	0	
colistin	polymyxin	No resistance	0	
fusidic acid	steroid antibacterial	No resistance	0	
mupirocin	pseudomonic acid	No resistance	0	
rifampicin	rifamycin	No resistance	0	
metronidazole	nitroimidazole	No resistance	0	
narasin	ionophores	No resistance	0	
salinomycin	ionophores	No resistance	0	
maduramicin	ionophores	No resistance	0	
