	Abundance
(R)-S-Lactoylglutathione	728.8709363769
Glutathione	1190.8449635251002
Methylglyoxal	569.7381790742
beta-D-Glucose 1-phosphate	903.6108249098
beta-D-Glucose 6-phosphate	856.2624689571
D-Glucose 6-phosphate	802.9285535125999
ATP	6648.610157095297
1,2-Diacyl-sn-glycerol	442.9087755208
ADP	5131.459710308199
Phosphatidate	442.9087755208
Formate	555.9131782265
NAD	5631.271955004899
	16347.247199878086
H	11316.889802062698
CO2	3643.0222427305966
NADH	5167.272850784895
Thiosulfate	387.1078260709
Cyanide ion	312.3074699185
Sulfite	755.7843644597999
Thiocyanate	312.3074699185
IMP	456.89665733600003
H2O	19341.12854807029
Inosine	488.9832881282
Orthophosphate	5323.532330398203
GMP	351.89402182820004
Guanosine	509.4195151866
2-Iminobutanoate	295.8473241541
2-Oxobutanoate	602.9351098977
Ammonia	3886.4400526291993
2-Iminopropanoate	295.8473241541
Pyruvate	3939.976968656
Molybdopterin	263.1245695749
Diphosphate	3067.718826116001
Adenylated molybdopterin	263.1245695749
dADP	283.1125341205
Thioredoxin disulfide	1164.5448985007997
Thioredoxin	1164.5448985007997
dUDP	272.4361355871
UDP	324.3395077184
dGDP	283.1125341205
GDP	339.80760623910004
dCDP	272.4361355871
CDP	272.4361355871
Dimethylallyl diphosphate	341.7439296831
Isopentenyl diphosphate	780.2710696272
Geranyl diphosphate	520.1807130848
trans,trans-Farnesyl diphosphate	520.1807130848
Geranylgeranyl diphosphate	260.0903565424
L-Cysteine	631.4499024860002
Hydrogen sulfide	1004.3189100145999
L-Cystathionine	325.64432208100004
L-Homocysteine	415.35820550280005
L-Cystine	325.64432208100004
Thiocysteine	325.64432208100004
L-Selenocystathionine	325.64432208100004
Selenohomocysteine	368.75256363560004
L-Cysteine-S-conjugate	325.64432208100004
Thiol	325.64432208100004
(R)-Lactate	277.6361808451
UDP-glucose	321.41869925059996
alpha-D-Galactose 1-phosphate	372.9685087013
D-Glucose 1-phosphate	434.1049846377
UDP-alpha-D-galactose	255.521541486
Protein N(pi)-phospho-L-histidine	1942.8667220302
Chitobiose	411.3770519663999
Protein histidine	1942.8667220302
N,N'-Diacetylchitobiose 6'-phosphate	322.70079073249997
Cellobiose	414.5097705829999
6-Phospho-beta-D-glucosyl-(1,4)-D-glucose	475.44744147849997
D-Fructose	662.2562335668999
D-Fructose 6-phosphate	937.4844129090002
beta-D-Fructose 6-phosphate	1182.1666230095998
beta-D-Fructose	273.895299773
Tetrahydrofolate	548.5090771227
L-Glutamate	1871.6153614103998
THF-L-glutamate	238.6035797775
Dihydropteroate	303.0857109017
Dihydrofolate	238.6035797775
THF-polyglutamate(n)	238.6035797775
THF-polyglutamate(n	238.6035797775
1)	244.5426247154
D-Sorbitol	525.8358213312
Sorbitol 6-phosphate	317.6148592254
Glutaconyl-1-CoA	256.7647442186
Crotonoyl-CoA	333.006027478
2-Dehydro-3-deoxy-D-gluconate	289.1291948316
2-Dehydro-3-deoxy-6-phospho-D-gluconate	201.7589614366
Spermidine	387.9877472586
Glutathionylspermidine	387.9877472586
1,4-Dihydroxy-2-naphthoyl-CoA	191.3087642956
1,4-Dihydroxy-2-naphthoate	191.3087642956
CoA	1211.7979934854995
L-Sorbose	187.3844819511
Sorbose 1-phosphate	187.3844819511
(S)-Lactate	186.4284386758
Ferricytochrome c	513.281883399
Ferrocytochrome c	513.281883399
N-Acetyl-D-galactosamine	356.56391212849996
N-Acetyl-D-galactosamine 6-phosphate	356.56391212849996
D-Galactosamine	180.8909602993
D-Galactosamine 6-phosphate	180.8909602993
Histone N6-acetyl-L-lysine	180.7824799633
Nicotinamide	361.5649599266
Histone-L-lysine	180.7824799633
O-Acetyl-ADP-ribose	361.5649599266
Protein N6-acetyl-L-lysine	180.7824799633
Protein lysine	180.7824799633
Acetyl-CoA	1611.1886172205
Acetoacetyl-CoA	493.339889788
Butanoyl-CoA	443.3265539453
3-Oxohexanoyl-CoA	248.9253481126
Hexadecenoyl-[acyl-carrier protein]	178.6718404151
KDO2-lipid IVA	220.5262639939
(9Z)-Hexadec-9-enoyl-KDO2-lipid IV(A)	178.6718404151
Acyl-carrier protein	966.5907837743001
Lactose	272.8476356047001
alpha-D-Glucose	327.33310572880004
D-Galactose	1301.976897427501
L-Fuculose 1-phosphate	174.6526133043
Glycerone phosphate	787.5557952252
(S)-Lactaldehyde	371.86408237190005
D-Ribulose 1-phosphate	174.6526133043
Glycolaldehyde	174.6526133043
N-Acetylornithine	237.478556206
2-Oxoglutarate	927.0582499277998
N-Acetyl-L-glutamate 5-semialdehyde	172.4608089098
N-Succinyl-LL-2,6-diaminoheptanedioate	233.9241797769
N-Succinyl-2-L-amino-6-oxoheptanedioate	172.4608089098
dTTP	256.9663417152
dTDP-glucose	170.9899323494
Pantetheine	169.5243737425
Pantetheine 4'-phosphate	236.2031583784
Pantothenate	225.5672786205
D-4'-Phosphopantothenate	236.2031583784
N-((R)-Pantothenoyl)-L-cysteine	169.5243737425
(R)-4'-Phosphopantothenoyl-L-cysteine	302.88194301429996
Glycolate	582.3783600226
Oxygen	858.5086881281001
Glyoxylate	468.3690808324
Hydrogen peroxide	507.0011700244
Acceptor	617.1796470149999
Reduced acceptor	617.1796470149999
2,4-Diamino-6-nitrotoluene	160.5170828764
2,4-Diamino-6-hydroxylaminotoluene	160.5170828764
D-Cysteine	160.3973372399
N-Acetyl-D-glucosamine 6-phosphate	154.6844621287
D-Glucosamine 6-phosphate	154.6844621287
Acetate	1132.2684074761999
Adenosine	184.6358329217
Adenine	177.03507442170002
alpha-D-Ribose 1-phosphate	948.7132527461999
Thymidine	299.7119318691
Thymine	164.2083685941
2-Deoxy-D-ribose 1-phosphate	218.2429951653
Hypoxanthine	164.1961045679
Uridine	246.1509406329
Uracil	164.2083685941
Guanine	152.8869204204
Cytidine	246.1509406329
Cytosine	152.8869204204
Xanthosine	164.1996058633
Xanthine	175.50528871539998
Thiamine	174.9206010131
Thiamin monophosphate	254.96435562530002
(R)-Pantoate	200.9186311805
NADP	3004.5366536296974
2-Dehydropantoate	144.8757263025
NADPH	3004.5366536296974
L-Serine	654.5318155788
O-Acetyl-L-serine	368.8278430835
Xylitol	143.6787236933
D-Xylulose	143.6787236933
L-Tyrosine	142.8978743916
S-Adenosyl-L-methionine	1099.0776512309
Iminoglycine	142.8978743916
4-Cresol	142.8978743916
5'-Deoxyadenosine	695.0368983774
L-Methionine	860.6968017195001
Dihydroflavodoxin	141.206472364
Protein glycine	141.206472364
Flavodoxin semiquinone	141.206472364
Protein glycin-2-yl radical	141.206472364
ADP-ribose	140.5383614633
AMP	1068.4627290740996
D-Ribose 5-phosphate	495.9672160162999
L-Arogenate	138.3977198374
L-Phenylalanine	138.3977198374
Prephenate	413.39347324659997
Phenylpyruvate	337.4772021596
Chorismate	279.1966849973
Sedoheptulose 7-phosphate	493.00641771740004
D-Glyceraldehyde 3-phosphate	853.2130732330002
D-Erythrose 4-phosphate	634.6539571089002
dTDP-4-amino-4,6-dideoxy-D-galactose	134.9698601226
dTDP-4-oxo-6-deoxy-D-glucose	177.43366737120002
(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]	180.99971852180002
But-2-enoyl-[acyl-carrier protein]	216.5391412433
(3R)-3-Hydroxydecanoyl-[acyl-carrier protein]	180.99971852180002
trans-Dec-2-enoyl-[acp]	216.5391412433
(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	180.99971852180002
trans-Oct-2-enoyl-[acp]	216.5391412433
(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein]	180.99971852180002
trans-Hexadec-2-enoyl-[acp]	216.5391412433
(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]	200.49810378350003
trans-Tetradec-2-enoyl-[acp]	216.5391412433
(3R)-3-Hydroxyhexanoyl-[acyl-carrier protein]	180.99971852180002
trans-Hex-2-enoyl-[acp]	216.5391412433
(3R)-3-Hydroxydodecanoyl-[acyl-carrier protein]	180.99971852180002
trans-Dodec-2-enoyl-[acp]	216.5391412433
(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]	180.99971852180002
(2E)-Octadecenoyl-[acp]	216.5391412433
3-Hydroxyglutaryl-[acp] methyl ester	180.99971852180002
Enoylglutaryl-[acp] methyl ester	133.9629288581
3-Hydroxypimeloyl-[acp] methyl ester	180.99971852180002
Enoylpimeloyl-[acp] methyl ester	133.9629288581
(3R)-3-Hydroxyacyl-[acyl-carrier protein]	180.99971852180002
trans-2,3-Dehydroacyl-[acyl-carrier protein]	216.5391412433
