.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR13731435_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
ERR13731435_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
ERR13731454_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
ERR13731454_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
ERR13731530_1	1	1	1	1	0.25	1	1	0.5	0.5	1	1
ERR13731530_2	1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR28064149	1	0.25	0	0.25	0.25	1	1	0.5	1	0.5	1
SRR28064150	1	0.25	0	0.25	0.25	1	1	0.5	1	0.25	1
SRR28064151	1	0.25	0	0.25	0.25	1	1	0.5	1	0.25	1
SRR28064152	1	0.25	0	0.25	0.25	1	1	0.5	1	0.25	1
SRR28064153	1	0.25	0	0.25	0.25	0.5	1	0.5	1	0.5	1
SRR28064154	1	0.25	0	0.25	0.25	1	1	0.5	1	0.5	1
