Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR13731435_1	0.0	0.0
ERR13731435_2	0.0	0.0
ERR13731454_1	0.0	0.0
ERR13731454_2	0.0	0.0
ERR13731530_1	0.0	0.0
ERR13731530_2	0.0	0.0
SRR28064149	0.8468399347846935	3.0411431859595286
SRR28064150	1.1640394626670065	4.455932141686993
SRR28064151	1.3221010901883052	4.68780971258672
SRR28064152	1.293300376041142	4.3988613333645725
SRR28064153	0.9183031972218895	3.3012513471440545
SRR28064154	0.4550091817996327	0.9605182615792696
