Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ERR13731435_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 5.5)	(4.0, 23.0)	(5.0, 62.5)	(6.0, 326.5)	(7.0, 846.5)	(8.0, 1551.0)	(9.0, 2095.5)	(10.0, 2511.5)	(11.0, 3552.0)	(12.0, 4897.0)	(13.0, 5904.0)	(14.0, 6267.5)	(15.0, 6814.0)	(16.0, 7177.5)	(17.0, 6492.0)	(18.0, 6272.5)	(19.0, 6819.5)	(20.0, 7937.0)	(21.0, 9867.5)	(22.0, 12610.0)	(23.0, 16371.5)	(24.0, 20862.0)	(25.0, 26623.0)	(26.0, 34004.5)	(27.0, 42521.5)	(28.0, 51527.0)	(29.0, 61193.5)	(30.0, 72361.5)	(31.0, 83994.0)	(32.0, 97027.0)	(33.0, 111508.5)	(34.0, 127076.5)	(35.0, 144785.0)	(36.0, 163917.0)	(37.0, 184175.5)	(38.0, 206320.5)	(39.0, 230432.0)	(40.0, 252375.5)	(41.0, 269111.0)	(42.0, 282340.0)	(43.0, 291391.0)	(44.0, 296096.0)	(45.0, 294330.0)	(46.0, 284905.0)	(47.0, 272975.0)	(48.0, 259389.5)	(49.0, 242714.0)	(50.0, 225020.5)	(51.0, 207161.0)	(52.0, 188369.5)	(53.0, 169732.5)	(54.0, 152741.5)	(55.0, 138188.0)	(56.0, 125074.5)	(57.0, 113782.0)	(58.0, 104834.5)	(59.0, 97062.0)	(60.0, 90302.0)	(61.0, 84003.5)	(62.0, 77567.0)	(63.0, 70999.0)	(64.0, 63840.0)	(65.0, 56209.0)	(66.0, 48575.5)	(67.0, 41232.5)	(68.0, 34088.0)	(69.0, 27383.5)	(70.0, 21393.0)	(71.0, 16174.5)	(72.0, 11984.5)	(73.0, 8683.0)	(74.0, 6071.5)	(75.0, 4139.5)	(76.0, 2793.0)	(77.0, 1749.0)	(78.0, 1065.0)	(79.0, 682.5)	(80.0, 438.5)	(81.0, 269.0)	(82.0, 183.5)	(83.0, 139.5)	(84.0, 98.5)	(85.0, 70.5)	(86.0, 50.5)	(87.0, 38.5)	(88.0, 36.5)	(89.0, 29.5)	(90.0, 17.0)	(91.0, 12.0)	(92.0, 8.5)	(93.0, 7.0)	(94.0, 5.5)	(95.0, 3.0)	(96.0, 1.5)	(97.0, 1.0)	(98.0, 1.0)	(99.0, 0.5)	(100.0, 0.0)
ERR13731435_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 1.5)	(3.0, 7.0)	(4.0, 22.0)	(5.0, 61.0)	(6.0, 335.0)	(7.0, 915.0)	(8.0, 1633.0)	(9.0, 2162.0)	(10.0, 2593.5)	(11.0, 3649.5)	(12.0, 5021.0)	(13.0, 6046.0)	(14.0, 6398.5)	(15.0, 6887.0)	(16.0, 7237.5)	(17.0, 6610.0)	(18.0, 6404.0)	(19.0, 7019.0)	(20.0, 8159.5)	(21.0, 9995.5)	(22.0, 12647.5)	(23.0, 16234.0)	(24.0, 20649.0)	(25.0, 26613.0)	(26.0, 34030.0)	(27.0, 41985.5)	(28.0, 51020.0)	(29.0, 60855.5)	(30.0, 71683.5)	(31.0, 84029.0)	(32.0, 97024.5)	(33.0, 111070.5)	(34.0, 126707.0)	(35.0, 144307.0)	(36.0, 163443.0)	(37.0, 184145.5)	(38.0, 206741.0)	(39.0, 229905.0)	(40.0, 250981.5)	(41.0, 268744.5)	(42.0, 281954.5)	(43.0, 291434.0)	(44.0, 296667.5)	(45.0, 293432.5)	(46.0, 284176.5)	(47.0, 273985.0)	(48.0, 260752.0)	(49.0, 243066.0)	(50.0, 225317.0)	(51.0, 207673.0)	(52.0, 188327.5)	(53.0, 169527.5)	(54.0, 153252.0)	(55.0, 138449.5)	(56.0, 125502.5)	(57.0, 114390.5)	(58.0, 104626.5)	(59.0, 97136.5)	(60.0, 90670.5)	(61.0, 84282.5)	(62.0, 78005.0)	(63.0, 71371.0)	(64.0, 64122.0)	(65.0, 56410.0)	(66.0, 48606.5)	(67.0, 41114.5)	(68.0, 33998.5)	(69.0, 27164.5)	(70.0, 21285.0)	(71.0, 16271.0)	(72.0, 12000.5)	(73.0, 8538.0)	(74.0, 5896.0)	(75.0, 4001.5)	(76.0, 2707.0)	(77.0, 1852.5)	(78.0, 1217.0)	(79.0, 793.5)	(80.0, 534.5)	(81.0, 346.5)	(82.0, 271.5)	(83.0, 243.0)	(84.0, 193.0)	(85.0, 164.0)	(86.0, 140.0)	(87.0, 130.5)	(88.0, 117.5)	(89.0, 95.5)	(90.0, 80.0)	(91.0, 67.0)	(92.0, 52.5)	(93.0, 48.5)	(94.0, 46.5)	(95.0, 38.5)	(96.0, 29.5)	(97.0, 26.0)	(98.0, 104.5)	(99.0, 185.5)	(100.0, 184.0)
ERR13731454_1	(0.0, 0.0)	(1.0, 0.5)	(2.0, 2.5)	(3.0, 15.5)	(4.0, 28.0)	(5.0, 36.0)	(6.0, 67.5)	(7.0, 132.5)	(8.0, 223.5)	(9.0, 403.5)	(10.0, 584.5)	(11.0, 678.0)	(12.0, 823.0)	(13.0, 1016.5)	(14.0, 1249.0)	(15.0, 1674.0)	(16.0, 2310.0)	(17.0, 3113.5)	(18.0, 4215.5)	(19.0, 5725.0)	(20.0, 7720.0)	(21.0, 10257.0)	(22.0, 13220.5)	(23.0, 16287.5)	(24.0, 20090.0)	(25.0, 24784.0)	(26.0, 29784.0)	(27.0, 35072.0)	(28.0, 40482.0)	(29.0, 46123.5)	(30.0, 52306.5)	(31.0, 59008.0)	(32.0, 65366.5)	(33.0, 72138.0)	(34.0, 79793.5)	(35.0, 88402.0)	(36.0, 97795.5)	(37.0, 108497.5)	(38.0, 120677.0)	(39.0, 133608.0)	(40.0, 145932.5)	(41.0, 156286.0)	(42.0, 164125.0)	(43.0, 170523.5)	(44.0, 174857.0)	(45.0, 175247.0)	(46.0, 173869.5)	(47.0, 171353.0)	(48.0, 168529.0)	(49.0, 165685.0)	(50.0, 162386.0)	(51.0, 158942.5)	(52.0, 155097.5)	(53.0, 151359.5)	(54.0, 148078.0)	(55.0, 146447.0)	(56.0, 145317.0)	(57.0, 143359.0)	(58.0, 141434.5)	(59.0, 139087.0)	(60.0, 135941.0)	(61.0, 131690.5)	(62.0, 125814.5)	(63.0, 118139.5)	(64.0, 108886.5)	(65.0, 98155.0)	(66.0, 86368.0)	(67.0, 74099.5)	(68.0, 61819.0)	(69.0, 50464.5)	(70.0, 40204.5)	(71.0, 30908.5)	(72.0, 23211.0)	(73.0, 16888.5)	(74.0, 11817.0)	(75.0, 8039.5)	(76.0, 5361.5)	(77.0, 3488.0)	(78.0, 2192.5)	(79.0, 1394.0)	(80.0, 865.5)	(81.0, 526.0)	(82.0, 338.0)	(83.0, 202.5)	(84.0, 133.0)	(85.0, 105.0)	(86.0, 76.0)	(87.0, 49.0)	(88.0, 36.5)	(89.0, 32.0)	(90.0, 26.0)	(91.0, 19.5)	(92.0, 14.0)	(93.0, 10.5)	(94.0, 6.0)	(95.0, 5.0)	(96.0, 6.0)	(97.0, 3.0)	(98.0, 0.5)	(99.0, 0.0)	(100.0, 0.0)
ERR13731454_2	(0.0, 1.0)	(1.0, 1.0)	(2.0, 3.5)	(3.0, 11.0)	(4.0, 27.0)	(5.0, 48.0)	(6.0, 87.5)	(7.0, 162.0)	(8.0, 238.0)	(9.0, 429.0)	(10.0, 613.5)	(11.0, 738.5)	(12.0, 934.0)	(13.0, 1131.0)	(14.0, 1369.5)	(15.0, 1771.0)	(16.0, 2398.5)	(17.0, 3199.5)	(18.0, 4339.0)	(19.0, 5925.0)	(20.0, 7796.5)	(21.0, 10180.5)	(22.0, 13190.0)	(23.0, 16482.0)	(24.0, 20237.5)	(25.0, 24861.0)	(26.0, 29722.5)	(27.0, 34874.0)	(28.0, 40307.0)	(29.0, 46177.5)	(30.0, 52470.5)	(31.0, 58782.0)	(32.0, 65243.5)	(33.0, 72119.5)	(34.0, 79933.0)	(35.0, 88358.0)	(36.0, 97535.0)	(37.0, 108459.0)	(38.0, 120722.5)	(39.0, 133737.5)	(40.0, 145691.5)	(41.0, 155503.5)	(42.0, 163862.5)	(43.0, 169751.0)	(44.0, 173434.0)	(45.0, 174441.0)	(46.0, 173183.0)	(47.0, 171291.0)	(48.0, 169196.0)	(49.0, 165863.0)	(50.0, 161857.5)	(51.0, 158501.0)	(52.0, 155302.0)	(53.0, 151531.5)	(54.0, 148147.5)	(55.0, 146799.0)	(56.0, 145850.0)	(57.0, 143955.5)	(58.0, 141994.0)	(59.0, 139624.0)	(60.0, 136392.5)	(61.0, 132016.5)	(62.0, 125896.5)	(63.0, 117920.0)	(64.0, 108437.0)	(65.0, 97744.0)	(66.0, 86263.5)	(67.0, 74170.5)	(68.0, 62033.0)	(69.0, 50589.5)	(70.0, 40031.5)	(71.0, 30913.5)	(72.0, 23121.0)	(73.0, 16996.0)	(74.0, 12118.0)	(75.0, 8291.5)	(76.0, 5629.5)	(77.0, 3653.0)	(78.0, 2346.5)	(79.0, 1545.5)	(80.0, 981.5)	(81.0, 661.0)	(82.0, 450.5)	(83.0, 313.5)	(84.0, 233.5)	(85.0, 185.5)	(86.0, 170.0)	(87.0, 154.5)	(88.0, 134.5)	(89.0, 112.5)	(90.0, 90.5)	(91.0, 88.5)	(92.0, 81.5)	(93.0, 62.5)	(94.0, 58.0)	(95.0, 47.5)	(96.0, 30.5)	(97.0, 29.5)	(98.0, 127.0)	(99.0, 225.5)	(100.0, 234.5)
ERR13731530_1	(0.0, 1.0)	(1.0, 0.5)	(2.0, 0.0)	(3.0, 4.5)	(4.0, 15.0)	(5.0, 40.0)	(6.0, 170.5)	(7.0, 419.5)	(8.0, 764.5)	(9.0, 1083.5)	(10.0, 1336.5)	(11.0, 1880.0)	(12.0, 2565.5)	(13.0, 2971.5)	(14.0, 3056.5)	(15.0, 3277.0)	(16.0, 3448.5)	(17.0, 3287.5)	(18.0, 3777.5)	(19.0, 4972.0)	(20.0, 6841.5)	(21.0, 9759.5)	(22.0, 14692.5)	(23.0, 21561.5)	(24.0, 30489.0)	(25.0, 43001.5)	(26.0, 59188.0)	(27.0, 76469.5)	(28.0, 95160.0)	(29.0, 117319.5)	(30.0, 142774.0)	(31.0, 170976.0)	(32.0, 202334.0)	(33.0, 237431.5)	(34.0, 272848.5)	(35.0, 310468.5)	(36.0, 353436.0)	(37.0, 399972.0)	(38.0, 447483.0)	(39.0, 496684.5)	(40.0, 548794.0)	(41.0, 601322.0)	(42.0, 653465.0)	(43.0, 707920.0)	(44.0, 758457.0)	(45.0, 801009.0)	(46.0, 837543.0)	(47.0, 869300.5)	(48.0, 892478.0)	(49.0, 904557.0)	(50.0, 906267.0)	(51.0, 897245.0)	(52.0, 879892.0)	(53.0, 855981.5)	(54.0, 826594.0)	(55.0, 792381.5)	(56.0, 757205.5)	(57.0, 722594.5)	(58.0, 686301.0)	(59.0, 649370.5)	(60.0, 612313.0)	(61.0, 572291.5)	(62.0, 526991.5)	(63.0, 478132.0)	(64.0, 428483.5)	(65.0, 374821.5)	(66.0, 320965.0)	(67.0, 270605.0)	(68.0, 224262.5)	(69.0, 180756.5)	(70.0, 139647.5)	(71.0, 105373.0)	(72.0, 77305.0)	(73.0, 53767.5)	(74.0, 36403.0)	(75.0, 24295.5)	(76.0, 15592.0)	(77.0, 9648.5)	(78.0, 5732.5)	(79.0, 3325.0)	(80.0, 1826.5)	(81.0, 990.0)	(82.0, 571.5)	(83.0, 323.5)	(84.0, 203.0)	(85.0, 132.0)	(86.0, 89.0)	(87.0, 63.5)	(88.0, 40.5)	(89.0, 33.0)	(90.0, 26.5)	(91.0, 21.5)	(92.0, 17.0)	(93.0, 15.0)	(94.0, 15.0)	(95.0, 10.5)	(96.0, 5.5)	(97.0, 3.0)	(98.0, 2.5)	(99.0, 2.0)	(100.0, 1.5)
ERR13731530_2	(0.0, 1.0)	(1.0, 1.5)	(2.0, 2.0)	(3.0, 7.0)	(4.0, 15.0)	(5.0, 39.0)	(6.0, 171.0)	(7.0, 434.0)	(8.0, 783.0)	(9.0, 1108.0)	(10.0, 1457.5)	(11.0, 2015.5)	(12.0, 2664.0)	(13.0, 3093.0)	(14.0, 3209.0)	(15.0, 3469.5)	(16.0, 3725.5)	(17.0, 3637.5)	(18.0, 4071.5)	(19.0, 5116.0)	(20.0, 7063.0)	(21.0, 10278.5)	(22.0, 15135.0)	(23.0, 22101.0)	(24.0, 31201.5)	(25.0, 43482.0)	(26.0, 59517.5)	(27.0, 77031.5)	(28.0, 95482.0)	(29.0, 116591.5)	(30.0, 142179.5)	(31.0, 171059.0)	(32.0, 201955.0)	(33.0, 236652.5)	(34.0, 272534.5)	(35.0, 310210.5)	(36.0, 352607.0)	(37.0, 399092.0)	(38.0, 446135.5)	(39.0, 495688.0)	(40.0, 547656.0)	(41.0, 598998.5)	(42.0, 651402.0)	(43.0, 706119.0)	(44.0, 757259.0)	(45.0, 800381.5)	(46.0, 836538.5)	(47.0, 868422.0)	(48.0, 892408.0)	(49.0, 903523.0)	(50.0, 904571.0)	(51.0, 895753.5)	(52.0, 877582.0)	(53.0, 854144.0)	(54.0, 826718.0)	(55.0, 793608.0)	(56.0, 757023.5)	(57.0, 722674.0)	(58.0, 686954.0)	(59.0, 648883.0)	(60.0, 611870.5)	(61.0, 572384.0)	(62.0, 527691.5)	(63.0, 478981.0)	(64.0, 429496.0)	(65.0, 375411.5)	(66.0, 321681.5)	(67.0, 272072.0)	(68.0, 224659.5)	(69.0, 180504.5)	(70.0, 140401.0)	(71.0, 106734.5)	(72.0, 78474.0)	(73.0, 55217.0)	(74.0, 37852.0)	(75.0, 25205.5)	(76.0, 16320.5)	(77.0, 10385.0)	(78.0, 6549.5)	(79.0, 4050.0)	(80.0, 2462.0)	(81.0, 1578.0)	(82.0, 1119.5)	(83.0, 806.5)	(84.0, 641.5)	(85.0, 524.0)	(86.0, 428.5)	(87.0, 370.5)	(88.0, 300.0)	(89.0, 251.0)	(90.0, 219.5)	(91.0, 193.5)	(92.0, 174.5)	(93.0, 153.0)	(94.0, 135.0)	(95.0, 101.5)	(96.0, 75.0)	(97.0, 70.5)	(98.0, 315.5)	(99.0, 561.5)	(100.0, 563.0)
SRR28064149	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.09090909090909091)	(14.0, 0.1111111111111111)	(15.0, 0.0)	(16.0, 0.09090909090909091)	(17.0, 0.09090909090909091)	(18.0, 0.0)	(19.0, 0.1)	(20.0, 0.19090909090909092)	(21.0, 0.3666666666666667)	(22.0, 1.2924963924963926)	(23.0, 2.2235209235209235)	(24.0, 3.8099927849927853)	(25.0, 5.853282828282829)	(26.0, 7.335028860028861)	(27.0, 16.443217893217888)	(28.0, 38.410894660894684)	(29.0, 56.43265488991307)	(30.0, 94.20721302966757)	(31.0, 150.6124183366428)	(32.0, 211.31051677783614)	(33.0, 295.0802044183941)	(34.0, 386.0880066984337)	(35.0, 509.37701228275677)	(36.0, 620.1925009857542)	(37.0, 781.629666363397)	(38.0, 962.2946390613234)	(39.0, 1081.2023794394215)	(40.0, 1181.8573110368693)	(41.0, 1260.5041805079368)	(42.0, 1323.6680497655968)	(43.0, 1309.4141695264)	(44.0, 1330.739855387924)	(45.0, 1351.5601384440188)	(46.0, 1310.1988380102541)	(47.0, 1239.582801163775)	(48.0, 1134.395174555977)	(49.0, 996.6117628525271)	(50.0, 866.0722889465065)	(51.0, 761.8543295506539)	(52.0, 636.8147287820879)	(53.0, 540.1818200365906)	(54.0, 464.26603022746696)	(55.0, 413.24573159365195)	(56.0, 350.066598503881)	(57.0, 295.7626822273057)	(58.0, 254.04744616225986)	(59.0, 208.85529243046128)	(60.0, 175.196883168739)	(61.0, 131.8846512069288)	(62.0, 94.17684756087634)	(63.0, 68.58175653352707)	(64.0, 46.00638955267209)	(65.0, 31.029155611413664)	(66.0, 19.825396825396812)	(67.0, 13.266345510857702)	(68.0, 8.701089233347298)	(69.0, 6.304545454545455)	(70.0, 5.587518037518039)	(71.0, 3.7774531024531024)	(72.0, 1.8366161616161618)	(73.0, 1.7084776334776335)	(74.0, 1.3607142857142855)	(75.0, 0.25)	(76.0, 0.5266955266955267)	(77.0, 0.2813852813852814)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR28064150	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.03225806451612903)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.09090909090909091)	(22.0, 0.18181818181818182)	(23.0, 0.43333333333333335)	(24.0, 0.8818181818181817)	(25.0, 3.297609297609297)	(26.0, 6.004401154401156)	(27.0, 14.239574314574304)	(28.0, 25.433431769716922)	(29.0, 47.601415267411966)	(30.0, 80.27688554471656)	(31.0, 127.52190287520204)	(32.0, 186.41811898481697)	(33.0, 258.98160498543785)	(34.0, 347.0642587980571)	(35.0, 436.54835564735515)	(36.0, 564.2389787990603)	(37.0, 716.5820790206528)	(38.0, 835.9534835839311)	(39.0, 995.8100047301988)	(40.0, 1102.8501089265594)	(41.0, 1191.5013217266278)	(42.0, 1292.9176770663837)	(43.0, 1361.0129480391317)	(44.0, 1317.755165760832)	(45.0, 1246.8029779402252)	(46.0, 1148.4306228714158)	(47.0, 1025.1176977199286)	(48.0, 886.5553679359048)	(49.0, 760.8398155527624)	(50.0, 643.0283611704554)	(51.0, 537.5123897428621)	(52.0, 466.19914980645825)	(53.0, 382.2080336958487)	(54.0, 337.6713904120477)	(55.0, 297.2666826158263)	(56.0, 252.20982882784767)	(57.0, 202.31130186719955)	(58.0, 174.2694410601529)	(59.0, 136.88593903808294)	(60.0, 98.93976655776927)	(61.0, 59.85388466666953)	(62.0, 43.73907060324929)	(63.0, 29.383062217090515)	(64.0, 16.698223335693267)	(65.0, 8.630646804176216)	(66.0, 5.143867243867244)	(67.0, 2.7433621933621932)	(68.0, 1.3325757575757575)	(69.0, 0.2159090909090909)	(70.0, 0.5666666666666667)	(71.0, 0.940909090909091)	(72.0, 0.3666666666666667)	(73.0, 0.0)	(74.0, 0.2)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR28064151	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.09090909090909091)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.16666666666666666)	(23.0, 0.6345238095238095)	(24.0, 0.727056277056277)	(25.0, 1.3132756132756134)	(26.0, 2.4107520400564146)	(27.0, 5.305913538171603)	(28.0, 9.246555559025497)	(29.0, 13.857496873242512)	(30.0, 23.354122566386557)	(31.0, 29.74150238457847)	(32.0, 42.45957155695601)	(33.0, 56.40684334653203)	(34.0, 84.11693216410767)	(35.0, 99.59927685408974)	(36.0, 128.4907352607504)	(37.0, 162.27235353646324)	(38.0, 194.21107060518116)	(39.0, 260.3970595044607)	(40.0, 308.2794921890954)	(41.0, 374.64084259066686)	(42.0, 426.8319299122902)	(43.0, 498.3741892700444)	(44.0, 540.6083310158123)	(45.0, 591.9688136731311)	(46.0, 607.3010476827219)	(47.0, 632.78335385156)	(48.0, 614.7699037052763)	(49.0, 574.4863721529907)	(50.0, 561.2121903850081)	(51.0, 510.3562160177573)	(52.0, 483.7227998180157)	(53.0, 428.85783881959117)	(54.0, 377.7234514547715)	(55.0, 313.45507006604987)	(56.0, 286.6161987292169)	(57.0, 237.3958526458042)	(58.0, 210.50118089933704)	(59.0, 175.44979828890314)	(60.0, 146.71704975945988)	(61.0, 120.41089900348268)	(62.0, 85.98102422723983)	(63.0, 58.184337410428725)	(64.0, 36.92556711829885)	(65.0, 22.7291405967055)	(66.0, 11.536126110050839)	(67.0, 5.818145743145744)	(68.0, 2.94978354978355)	(69.0, 1.5087662337662335)	(70.0, 0.5909090909090908)	(71.0, 0.19090909090909092)	(72.0, 0.16666666666666666)	(73.0, 0.6666666666666666)	(74.0, 0.5)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR28064152	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.09090909090909091)	(14.0, 0.09090909090909091)	(15.0, 0.43376623376623374)	(16.0, 0.5068181818181818)	(17.0, 0.9992424242424242)	(18.0, 1.5326839826839829)	(19.0, 2.0261544011544013)	(20.0, 3.519877344877345)	(21.0, 6.537373737373737)	(22.0, 10.27784992784993)	(23.0, 16.06089466089466)	(24.0, 22.75124051575663)	(25.0, 30.573098524868772)	(26.0, 38.143604724392226)	(27.0, 58.970569752828034)	(28.0, 96.50610070817098)	(29.0, 144.62373716468878)	(30.0, 224.08845278894646)	(31.0, 331.0956804484708)	(32.0, 484.32911350300407)	(33.0, 648.3167589928385)	(34.0, 837.2516008532718)	(35.0, 1068.0167286327944)	(36.0, 1308.4213705215122)	(37.0, 1605.3184023421268)	(38.0, 1898.352754676767)	(39.0, 2169.2471417960987)	(40.0, 2536.0324426055113)	(41.0, 2794.136613718835)	(42.0, 3023.8516752690525)	(43.0, 3103.009411740822)	(44.0, 3115.7874502786585)	(45.0, 2976.5510209490303)	(46.0, 2805.2593423656017)	(47.0, 2631.4814043437755)	(48.0, 2422.3514365675883)	(49.0, 2222.708034622565)	(50.0, 2026.8975218334967)	(51.0, 1849.1143071843057)	(52.0, 1686.9671895146992)	(53.0, 1520.285994734084)	(54.0, 1385.4911002770077)	(55.0, 1267.8221713679704)	(56.0, 1136.0996238113166)	(57.0, 980.0358568719397)	(58.0, 832.4995810337119)	(59.0, 661.7326743945749)	(60.0, 512.4296256656105)	(61.0, 385.6458626598281)	(62.0, 258.9424764589312)	(63.0, 159.22488768507932)	(64.0, 101.15545382805873)	(65.0, 56.2497859055886)	(66.0, 35.489880398908745)	(67.0, 14.827214598497045)	(68.0, 8.374170274170277)	(69.0, 4.507034632034631)	(70.0, 0.5151515151515151)	(71.0, 0.602020202020202)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
