Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
ERR13731435_1	(15.0, 4.0)	(16.0, 32.0)	(17.0, 81.0)	(18.0, 212.0)	(19.0, 382.0)	(20.0, 837.0)	(21.0, 1815.0)	(22.0, 3472.0)	(23.0, 6704.0)	(24.0, 11587.0)	(25.0, 17518.0)	(26.0, 23712.0)	(27.0, 32414.0)	(28.0, 45619.0)	(29.0, 65860.0)	(30.0, 95256.0)	(31.0, 140383.0)	(32.0, 207778.0)	(33.0, 341736.0)	(34.0, 659475.0)	(35.0, 1737210.0)	(36.0, 3204648.0)	(37.0, 63581.0)				
ERR13731435_2	(11.0, 1.0)	(12.0, 3.0)	(13.0, 18.0)	(14.0, 47.0)	(15.0, 90.0)	(16.0, 149.0)	(17.0, 274.0)	(18.0, 549.0)	(19.0, 1121.0)	(20.0, 2217.0)	(21.0, 4266.0)	(22.0, 7250.0)	(23.0, 11820.0)	(24.0, 15483.0)	(25.0, 18060.0)	(26.0, 19431.0)	(27.0, 21523.0)	(28.0, 25865.0)	(29.0, 33195.0)	(30.0, 45391.0)	(31.0, 65917.0)	(32.0, 100906.0)	(33.0, 177939.0)	(34.0, 364106.0)	(35.0, 1074876.0)	(36.0, 4381281.0)	(37.0, 288538.0)
ERR13731454_1	(14.0, 2.0)	(15.0, 5.0)	(16.0, 34.0)	(17.0, 98.0)	(18.0, 195.0)	(19.0, 390.0)	(20.0, 825.0)	(21.0, 1707.0)	(22.0, 3428.0)	(23.0, 6194.0)	(24.0, 10392.0)	(25.0, 15558.0)	(26.0, 20724.0)	(27.0, 27499.0)	(28.0, 36393.0)	(29.0, 51123.0)	(30.0, 71269.0)	(31.0, 99646.0)	(32.0, 142580.0)	(33.0, 222519.0)	(34.0, 397126.0)	(35.0, 1020379.0)	(36.0, 3124105.0)	(37.0, 151306.0)			
ERR13731454_2	(11.0, 1.0)	(12.0, 1.0)	(13.0, 8.0)	(14.0, 49.0)	(15.0, 86.0)	(16.0, 176.0)	(17.0, 289.0)	(18.0, 636.0)	(19.0, 1264.0)	(20.0, 2550.0)	(21.0, 4611.0)	(22.0, 7855.0)	(23.0, 11884.0)	(24.0, 15590.0)	(25.0, 18736.0)	(26.0, 20504.0)	(27.0, 23423.0)	(28.0, 28219.0)	(29.0, 36789.0)	(30.0, 49219.0)	(31.0, 69708.0)	(32.0, 104353.0)	(33.0, 174752.0)	(34.0, 338276.0)	(35.0, 918651.0)	(36.0, 3345008.0)	(37.0, 230859.0)
ERR13731530_1	(15.0, 4.0)	(16.0, 26.0)	(17.0, 86.0)	(18.0, 245.0)	(19.0, 536.0)	(20.0, 1059.0)	(21.0, 2308.0)	(22.0, 4583.0)	(23.0, 9570.0)	(24.0, 17649.0)	(25.0, 31197.0)	(26.0, 50669.0)	(27.0, 80205.0)	(28.0, 122150.0)	(29.0, 181595.0)	(30.0, 260546.0)	(31.0, 375819.0)	(32.0, 537091.0)	(33.0, 833733.0)	(34.0, 1452577.0)	(35.0, 3741234.0)	(36.0, 14928851.0)	(37.0, 819694.0)				
ERR13731530_2	(12.0, 15.0)	(13.0, 42.0)	(14.0, 116.0)	(15.0, 200.0)	(16.0, 349.0)	(17.0, 685.0)	(18.0, 1717.0)	(19.0, 3969.0)	(20.0, 8262.0)	(21.0, 15101.0)	(22.0, 23359.0)	(23.0, 34841.0)	(24.0, 45921.0)	(25.0, 58646.0)	(26.0, 72713.0)	(27.0, 93541.0)	(28.0, 122443.0)	(29.0, 168591.0)	(30.0, 235616.0)	(31.0, 345629.0)	(32.0, 526171.0)	(33.0, 889902.0)	(34.0, 1686039.0)	(35.0, 4379892.0)	(36.0, 13950067.0)	(37.0, 787600.0)	
SRR28064149	(9.0, 1.0)	(10.0, 247.0)	(11.0, 3432.0)	(12.0, 7066.0)	(13.0, 9347.0)	(14.0, 11109.0)	(15.0, 12410.0)	(16.0, 13211.0)	(17.0, 13668.0)	(18.0, 13026.0)	(19.0, 10335.0)	(20.0, 6382.0)	(21.0, 2818.0)	(22.0, 963.0)	(23.0, 207.0)	(24.0, 39.0)	(25.0, 6.0)	(26.0, 2.0)	(27.0, 1.0)								
SRR28064150	(10.0, 93.0)	(11.0, 1598.0)	(12.0, 4530.0)	(13.0, 7290.0)	(14.0, 9394.0)	(15.0, 11584.0)	(16.0, 13502.0)	(17.0, 15532.0)	(18.0, 16052.0)	(19.0, 14054.0)	(20.0, 9623.0)	(21.0, 4640.0)	(22.0, 1572.0)	(23.0, 348.0)	(24.0, 56.0)	(25.0, 6.0)	(26.0, 1.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 1.0)						
SRR28064151	(10.0, 7.0)	(11.0, 341.0)	(12.0, 1617.0)	(13.0, 2949.0)	(14.0, 4059.0)	(15.0, 5178.0)	(16.0, 6422.0)	(17.0, 7612.0)	(18.0, 8316.0)	(19.0, 7137.0)	(20.0, 4412.0)	(21.0, 1776.0)	(22.0, 502.0)	(23.0, 110.0)	(24.0, 12.0)												
SRR28064152	(10.0, 51.0)	(11.0, 1594.0)	(12.0, 7419.0)	(13.0, 13759.0)	(14.0, 19649.0)	(15.0, 25856.0)	(16.0, 32722.0)	(17.0, 39175.0)	(18.0, 42521.0)	(19.0, 36887.0)	(20.0, 23190.0)	(21.0, 9722.0)	(22.0, 2825.0)	(23.0, 611.0)	(24.0, 87.0)	(25.0, 16.0)	(26.0, 4.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 1.0)						
SRR28064153	(10.0, 13.0)	(11.0, 568.0)	(12.0, 3252.0)	(13.0, 6456.0)	(14.0, 9802.0)	(15.0, 12759.0)	(16.0, 16257.0)	(17.0, 20246.0)	(18.0, 22678.0)	(19.0, 20821.0)	(20.0, 13072.0)	(21.0, 5612.0)	(22.0, 1682.0)	(23.0, 333.0)	(24.0, 59.0)	(25.0, 4.0)	(26.0, 1.0)	(27.0, 0.0)	(28.0, 1.0)								
SRR28064154	(10.0, 153.0)	(11.0, 2720.0)	(12.0, 7774.0)	(13.0, 12345.0)	(14.0, 16479.0)	(15.0, 20615.0)	(16.0, 24722.0)	(17.0, 29038.0)	(18.0, 30040.0)	(19.0, 25664.0)	(20.0, 16255.0)	(21.0, 7243.0)	(22.0, 2335.0)	(23.0, 536.0)	(24.0, 106.0)	(25.0, 14.0)	(26.0, 1.0)										
