Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR13731435_1	(1.0, 61.94575806127095)	(2.0, 16.913824611587717)	(3.0, 7.224489687320338)	(4.0, 3.8630531392342355)	(5.0, 2.2343536607590475)	(6.0, 1.448641938015272)	(7.0, 1.0546936069927642)	(8.0, 0.7388614058228503)	(9.0, 0.5734437403838528)	('>10', 3.247716189974048)	('>50', 0.47480686009646056)	('>100', 0.2803570985424607)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR13731435_2	(1.0, 61.163874565036444)	(2.0, 17.13664086142774)	(3.0, 7.2368101889273655)	(4.0, 3.959967401159372)	(5.0, 2.331318350350089)	(6.0, 1.5634066429983051)	(7.0, 1.0735532283753817)	(8.0, 0.7768614554331585)	(9.0, 0.5415542251365284)	('>10', 3.3438441359747246)	('>50', 0.5761559720333898)	('>100', 0.29601297314751995)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR13731454_1	(1.0, 76.64906501599245)	(2.0, 15.594375488664088)	(3.0, 4.190965907785929)	(4.0, 1.4775670691861464)	(5.0, 0.63940248004774)	(6.0, 0.3478724272388394)	(7.0, 0.20778680718382428)	(8.0, 0.11714032893808313)	(9.0, 0.11933965772413252)	('>10', 0.5563777870187403)	('>50', 0.07004685362093914)	('>100', 0.030060176599098244)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR13731454_2	(1.0, 76.5258440014301)	(2.0, 15.655231186611566)	(3.0, 4.31799775352985)	(4.0, 1.4704688158217218)	(5.0, 0.6373701355837325)	(6.0, 0.34893984057369476)	(7.0, 0.18881488629712453)	(8.0, 0.12673462669396632)	(9.0, 0.09354460220731259)	('>10', 0.538557386677192)	('>50', 0.06379042458584266)	('>100', 0.03270633998795277)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR13731530_1	(1.0, 37.47578261214149)	(2.0, 15.904029607174161)	(3.0, 9.462103124875146)	(4.0, 6.281520502869685)	(5.0, 4.6192583575734)	(6.0, 3.614542166885722)	(7.0, 2.905980489666781)	(8.0, 2.3217904069211883)	(9.0, 1.9574792739941715)	('>10', 14.135912750971217)	('>50', 0.931141941358412)	('>100', 0.3849976556749499)	('>500', 0.005461109893673594)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR13731530_2	(1.0, 38.059385313577856)	(2.0, 15.781590514824734)	(3.0, 9.283560790254612)	(4.0, 6.187111100190925)	(5.0, 4.567496474380245)	(6.0, 3.560632945637111)	(7.0, 2.9291160334045148)	(8.0, 2.3449610293423)	(9.0, 1.919266772376856)	('>10', 14.030299792785945)	('>50', 0.928411770372428)	('>100', 0.3996429589683404)	('>500', 0.008524503884254452)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR28064149	(1.0, 81.69559796681692)	(2.0, 3.640548575812794)	(3.0, 1.6601131677376042)	(4.0, 1.1278411815479044)	(5.0, 0.7960103577251366)	(6.0, 0.5811834660017263)	(7.0, 0.4699338256449602)	(8.0, 0.32991272657523735)	(9.0, 0.345257504555481)	('>10', 4.354080751894121)	('>50', 1.011796298072312)	('>100', 3.1408842428311115)	('>500', 0.8468399347846935)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR28064150	(1.0, 76.5308165568459)	(2.0, 4.175616149113546)	(3.0, 1.8948633004477775)	(4.0, 1.1795114492700864)	(5.0, 0.955622701954931)	(6.0, 0.7208125523317194)	(7.0, 0.5797444391859915)	(8.0, 0.5606319851468928)	(9.0, 0.4259346900141978)	('>10', 5.43976846627107)	('>50', 1.9167061050638903)	('>100', 4.455932141686993)	('>500', 0.0)	('>1k', 1.1640394626670065)	('>5k', 0.0)	('>10k+', 0.0)
SRR28064151	(1.0, 79.30426164519326)	(2.0, 3.881070366699703)	(3.0, 1.855302279484638)	(4.0, 1.1496531219028743)	(5.0, 0.8225966303270564)	(6.0, 0.6065411298315164)	(7.0, 0.5550049554013875)	(8.0, 0.5232903865213082)	(9.0, 0.267591674925669)	('>10', 5.024777006937562)	('>50', 1.554013875123885)	('>100', 3.1337958374628347)	('>500', 1.3221010901883052)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR28064152	(1.0, 73.15576184213755)	(2.0, 3.9629793490219325)	(3.0, 1.8297205352559913)	(4.0, 1.3000868054937968)	(5.0, 0.9484724626395272)	(6.0, 0.7463254975531474)	(7.0, 0.6454772721520661)	(8.0, 0.5150830188001402)	(9.0, 0.48800962236245604)	('>10', 5.971193073561919)	('>50', 2.1779635947997713)	('>100', 4.25774816507608)	('>500', 1.812093323724057)	('>1k', 2.18908543742157)	('>5k', 0.0)	('>10k+', 0.0)
