Sample	Bacteroidia	Clostridia	Mammalia	Gammaproteobacteria	Negativicutes	Other	Unclassified
ERR13731435_kraken_report	2258092.0	2964298.0	483448.0	114342.0	29328.0	1068931.0	6344066.0
ERR13731435_kraken_report_bracken_species	2416771.0	3155983.0	491231.0	123308.0	30476.0	679843.0	0.0
ERR13731454_kraken_report	1200813.0	2866902.0	358226.0	335451.0	12541.0	710766.0	5263185.0
ERR13731454_kraken_report_bracken_species	1326205.0	3020962.0	367066.0	380452.0	12778.0	357987.0	0.0
ERR13731530_kraken_report	24829594.0	11586873.0	290480.0	3250087.0	3263.0	2135800.0	4665343.0
ERR13731530_kraken_report_bracken_species	25872733.0	12012277.0	309314.0	3378616.0	3287.0	502026.0	0.0
SRR28064149_kraken_report	17008.0	8170.0	49740.0	486.0	190.0	3443.0	25156.0
SRR28064149_kraken_report_bracken_species	17032.0	8198.0	49934.0	226.0	210.0	751.0	0.0
SRR28064150_kraken_report	56578.0	12701.0	7075.0	594.0	189.0	7371.0	25309.0
SRR28064150_kraken_report_bracken_species	57803.0	13079.0	7127.0	190.0	166.0	2753.0	0.0
SRR28064151_kraken_report	13170.0	8970.0	874.0	487.0	173.0	4061.0	22436.0
SRR28064151_kraken_report_bracken_species	13328.0	9385.0	903.0	0.0	141.0	962.0	0.0
SRR28064152_kraken_report	50739.0	70219.0	3735.0	1853.0	2002.0	19617.0	107007.0
SRR28064152_kraken_report_bracken_species	52135.0	73344.0	3853.0	797.0	2145.0	6393.0	0.0
SRR28064153_kraken_report	80503.0	21980.0	885.0	689.0	864.0	6691.0	21912.0
SRR28064153_kraken_report_bracken_species	82527.0	21752.0	921.0	231.0	830.0	788.0	0.0
SRR28064154_kraken_report	82565.0	14586.0	4577.0	2604.0	935.0	12749.0	77932.0
SRR28064154_kraken_report_bracken_species	84068.0	15090.0	4652.0	1938.0	865.0	3013.0	0.0
SRR28064155_kraken_report	921.0	1346.0	52.0	164.0	37.0	439.0	1768.0
SRR28064155_kraken_report_bracken_species	886.0	1153.0	57.0	140.0	37.0	42.0	0.0
SRR28064156_kraken_report	3053.0	9808.0	737.0	2231.0	923.0	4637.0	26087.0
SRR28064156_kraken_report_bracken_species	2946.0	9946.0	784.0	2125.0	993.0	798.0	0.0
SRR28064157_kraken_report	60926.0	26827.0	1429.0	1464.0	831.0	22246.0	107623.0
SRR28064157_kraken_report_bracken_species	62051.0	28820.0	1526.0	522.0	850.0	11103.0	0.0
SRR28064158_kraken_report	52628.0	72583.0	1628.0	3045.0	11959.0	22931.0	181159.0
SRR28064158_kraken_report_bracken_species	53421.0	71289.0	1747.0	2537.0	13292.0	6177.0	0.0
