Sample	Bacteria	Eukaryota	Archaea	Viruses	Other	Unclassified
ERR13731435_kraken_report	6412061.0	483448.0	2854.0	2520.0	17556.0	6344066.0
ERR13731435_kraken_report_bracken_species	6398429.0	491231.0	1837.0	6114.0	1.0	0.0
ERR13731454_kraken_report	5097904.0	358226.0	3521.0	810.0	24238.0	5263185.0
ERR13731454_kraken_report_bracken_species	5094276.0	367066.0	2514.0	1591.0	3.0	0.0
ERR13731530_kraken_report	41668304.0	290480.0	3011.0	24247.0	110055.0	4665343.0
ERR13731530_kraken_report_bracken_species	41737056.0	309314.0	2184.0	29698.0	1.0	0.0
SRR28064149_kraken_report	28917.0	49740.0	52.0	100.0	228.0	25156.0
SRR28064149_kraken_report_bracken_species	26363.0	49934.0	0.0	53.0	1.0	0.0
SRR28064150_kraken_report	77254.0	7075.0	64.0	26.0	89.0	25309.0
SRR28064150_kraken_report_bracken_species	73990.0	7127.0	0.0	0.0	1.0	0.0
SRR28064151_kraken_report	26325.0	874.0	429.0	34.0	73.0	22436.0
SRR28064151_kraken_report_bracken_species	23429.0	903.0	368.0	18.0	1.0	0.0
SRR28064152_kraken_report	143743.0	3736.0	242.0	224.0	220.0	107007.0
SRR28064152_kraken_report_bracken_species	134665.0	3853.0	20.0	129.0	0.0	0.0
SRR28064153_kraken_report	110542.0	885.0	74.0	41.0	70.0	21912.0
SRR28064153_kraken_report_bracken_species	106128.0	921.0	0.0	0.0	0.0	0.0
SRR28064154_kraken_report	110871.0	4577.0	273.0	2128.0	167.0	77932.0
SRR28064154_kraken_report_bracken_species	102894.0	4652.0	71.0	2008.0	1.0	0.0
SRR28064155_kraken_report	2880.0	52.0	11.0	7.0	9.0	1768.0
SRR28064155_kraken_report_bracken_species	2257.0	57.0	0.0	0.0	1.0	0.0
SRR28064156_kraken_report	19841.0	737.0	647.0	66.0	98.0	26087.0
SRR28064156_kraken_report_bracken_species	16226.0	784.0	566.0	15.0	1.0	0.0
SRR28064157_kraken_report	109391.0	1429.0	1241.0	1457.0	205.0	107623.0
SRR28064157_kraken_report_bracken_species	100954.0	1526.0	1028.0	1362.0	2.0	0.0
SRR28064158_kraken_report	162250.0	1628.0	228.0	310.0	358.0	181159.0
SRR28064158_kraken_report_bracken_species	146500.0	1747.0	0.0	215.0	1.0	0.0
