Sample	Bacteroidaceae	Oscillospiraceae	Lachnospiraceae	Prevotellaceae	Hominidae	Other	Unclassified
ERR13731435_kraken_report	1198157.0	1027615.0	1659282.0	147212.0	483448.0	2402725.0	6344066.0
ERR13731435_kraken_report_bracken_species	1865631.0	1141774.0	1952551.0	181351.0	491231.0	1265074.0	0.0
ERR13731454_kraken_report	166215.0	1062147.0	1488484.0	6406.0	358226.0	2403221.0	5263185.0
ERR13731454_kraken_report_bracken_species	245766.0	1163142.0	1717068.0	6707.0	367066.0	1965701.0	0.0
ERR13731530_kraken_report	21006136.0	10527436.0	537743.0	10969.0	290480.0	9723333.0	4665343.0
ERR13731530_kraken_report_bracken_species	24188351.0	11299210.0	650014.0	11249.0	309314.0	5620115.0	0.0
SRR28064149_kraken_report	11559.0	5991.0	1645.0	2824.0	49740.0	7278.0	25156.0
SRR28064149_kraken_report_bracken_species	13022.0	6339.0	1792.0	2773.0	49934.0	2491.0	0.0
SRR28064150_kraken_report	47333.0	6677.0	4788.0	1116.0	7075.0	17519.0	25309.0
SRR28064150_kraken_report_bracken_species	53047.0	7315.0	5429.0	1090.0	7127.0	7110.0	0.0
SRR28064151_kraken_report	5772.0	1735.0	2957.0	714.0	874.0	15683.0	22436.0
SRR28064151_kraken_report_bracken_species	6562.0	1963.0	3245.0	660.0	903.0	11386.0	0.0
SRR28064152_kraken_report	29373.0	22656.0	42114.0	7712.0	3735.0	42575.0	107007.0
SRR28064152_kraken_report_bracken_species	33344.0	24655.0	47356.0	7929.0	3853.0	21530.0	0.0
SRR28064153_kraken_report	58201.0	16621.0	4178.0	1270.0	885.0	30457.0	21912.0
SRR28064153_kraken_report_bracken_species	65450.0	16707.0	4410.0	1291.0	921.0	18270.0	0.0
SRR28064154_kraken_report	6717.0	6882.0	5795.0	65367.0	4577.0	28678.0	77932.0
SRR28064154_kraken_report_bracken_species	8428.0	7440.0	6878.0	68673.0	4652.0	13555.0	0.0
SRR28064155_kraken_report	509.0	476.0	711.0	58.0	52.0	1153.0	1768.0
SRR28064155_kraken_report_bracken_species	528.0	366.0	774.0	48.0	57.0	542.0	0.0
SRR28064156_kraken_report	1251.0	4139.0	4464.0	253.0	737.0	10545.0	26087.0
SRR28064156_kraken_report_bracken_species	1402.0	4720.0	4891.0	179.0	784.0	5616.0	0.0
SRR28064157_kraken_report	6090.0	13041.0	10776.0	42391.0	1429.0	39996.0	107623.0
SRR28064157_kraken_report_bracken_species	7870.0	14780.0	12883.0	44989.0	1526.0	22824.0	0.0
SRR28064158_kraken_report	7614.0	57006.0	9227.0	14619.0	1628.0	74680.0	181159.0
SRR28064158_kraken_report_bracken_species	8653.0	57860.0	11768.0	14981.0	1747.0	53454.0	0.0
