Sample	Bacteroides	Faecalibacterium	Phocaeicola	Segatella	Homo	Other	Unclassified
ERR13731435_kraken_report	595757.0	951007.0	459151.0	38217.0	483448.0	4390859.0	6344066.0
ERR13731435_kraken_report_bracken_species	981195.0	1041513.0	884436.0	42742.0	491231.0	3456495.0	0.0
ERR13731454_kraken_report	80228.0	722104.0	60815.0	1122.0	358226.0	4262204.0	5263185.0
ERR13731454_kraken_report_bracken_species	162098.0	806193.0	83668.0	1187.0	367066.0	4045238.0	0.0
ERR13731530_kraken_report	18283450.0	10194153.0	2426777.0	3982.0	290480.0	10897255.0	4665343.0
ERR13731530_kraken_report_bracken_species	21495151.0	11050318.0	2693200.0	4407.0	309314.0	6525863.0	0.0
SRR28064149_kraken_report	4029.0	2508.0	7211.0	2478.0	49740.0	13071.0	25156.0
SRR28064149_kraken_report_bracken_species	4459.0	2684.0	8562.0	2613.0	49934.0	8099.0	0.0
SRR28064150_kraken_report	18401.0	3130.0	27285.0	616.0	7075.0	28001.0	25309.0
SRR28064150_kraken_report_bracken_species	20557.0	3531.0	32489.0	668.0	7127.0	16746.0	0.0
SRR28064151_kraken_report	4017.0	228.0	1634.0	596.0	874.0	20386.0	22436.0
SRR28064151_kraken_report_bracken_species	4638.0	246.0	1923.0	640.0	903.0	16369.0	0.0
SRR28064152_kraken_report	17156.0	18283.0	11406.0	6512.0	3735.0	91073.0	107007.0
SRR28064152_kraken_report_bracken_species	20048.0	20002.0	13295.0	6869.0	3853.0	74600.0	0.0
SRR28064153_kraken_report	33162.0	5161.0	22812.0	111.0	885.0	49481.0	21912.0
SRR28064153_kraken_report_bracken_species	38209.0	5817.0	27240.0	102.0	921.0	34760.0	0.0
SRR28064154_kraken_report	4273.0	5175.0	2121.0	62355.0	4577.0	39515.0	77932.0
SRR28064154_kraken_report_bracken_species	5458.0	5714.0	2969.0	66684.0	4652.0	24149.0	0.0
SRR28064155_kraken_report	373.0	234.0	122.0	48.0	52.0	2130.0	1768.0
SRR28064155_kraken_report_bracken_species	383.0	210.0	145.0	48.0	57.0	1472.0	0.0
SRR28064156_kraken_report	894.0	2898.0	307.0	106.0	737.0	16447.0	26087.0
SRR28064156_kraken_report_bracken_species	1038.0	3350.0	363.0	97.0	784.0	11960.0	0.0
SRR28064157_kraken_report	4660.0	8694.0	1061.0	40014.0	1429.0	57865.0	107623.0
SRR28064157_kraken_report_bracken_species	6243.0	9917.0	1626.0	43276.0	1526.0	42284.0	0.0
SRR28064158_kraken_report	4830.0	38747.0	2451.0	13321.0	1628.0	103797.0	181159.0
SRR28064158_kraken_report_bracken_species	5718.0	42559.0	2934.0	14037.0	1747.0	81468.0	0.0
