Sample	Metazoa	Heunggongvirae	Bamfordvirae	Orthornavirae	Shotokuvirae	Other	Unclassified
ERR13731435_kraken_report	483448.0	2303.0	132.0	16.0	17.0	6432523.0	6344066.0
ERR13731435_kraken_report_bracken_species	491231.0	5988.0	76.0	0.0	15.0	6400302.0	0.0
ERR13731454_kraken_report	358226.0	648.0	104.0	16.0	7.0	5125698.0	5263185.0
ERR13731454_kraken_report_bracken_species	367066.0	1533.0	44.0	0.0	0.0	5096807.0	0.0
ERR13731530_kraken_report	290480.0	23954.0	152.0	131.0	3.0	41781377.0	4665343.0
ERR13731530_kraken_report_bracken_species	309314.0	29458.0	128.0	112.0	0.0	41739241.0	0.0
SRR28064149_kraken_report	49740.0	88.0	7.0	0.0	1.0	29201.0	25156.0
SRR28064149_kraken_report_bracken_species	49934.0	53.0	0.0	0.0	0.0	26364.0	0.0
SRR28064150_kraken_report	7075.0	11.0	5.0	4.0	0.0	77413.0	25309.0
SRR28064150_kraken_report_bracken_species	7127.0	0.0	0.0	0.0	0.0	73991.0	0.0
SRR28064151_kraken_report	874.0	31.0	3.0	0.0	0.0	26827.0	22436.0
SRR28064151_kraken_report_bracken_species	903.0	18.0	0.0	0.0	0.0	23798.0	0.0
SRR28064152_kraken_report	3735.0	196.0	11.0	8.0	1.0	144214.0	107007.0
SRR28064152_kraken_report_bracken_species	3853.0	129.0	0.0	0.0	0.0	134685.0	0.0
SRR28064153_kraken_report	885.0	28.0	9.0	2.0	0.0	110688.0	21912.0
SRR28064153_kraken_report_bracken_species	921.0	0.0	0.0	0.0	0.0	106128.0	0.0
SRR28064154_kraken_report	4577.0	2094.0	14.0	7.0	2.0	111322.0	77932.0
SRR28064154_kraken_report_bracken_species	4652.0	2008.0	0.0	0.0	0.0	102966.0	0.0
SRR28064155_kraken_report	52.0	6.0	1.0	0.0	0.0	2900.0	1768.0
SRR28064155_kraken_report_bracken_species	57.0	0.0	0.0	0.0	0.0	2258.0	0.0
SRR28064156_kraken_report	737.0	57.0	6.0	0.0	1.0	20588.0	26087.0
SRR28064156_kraken_report_bracken_species	784.0	15.0	0.0	0.0	0.0	16793.0	0.0
SRR28064157_kraken_report	1429.0	1418.0	22.0	8.0	0.0	110846.0	107623.0
SRR28064157_kraken_report_bracken_species	1526.0	1362.0	0.0	0.0	0.0	101984.0	0.0
SRR28064158_kraken_report	1628.0	290.0	13.0	2.0	0.0	162841.0	181159.0
SRR28064158_kraken_report_bracken_species	1747.0	215.0	0.0	0.0	0.0	146501.0	0.0
