Sample	Bacteroidales	Eubacteriales	Primates	Enterobacterales	Veillonellales	Other	Unclassified
ERR13731435_kraken_report	2241632.0	2962219.0	483448.0	7507.0	14383.0	1209250.0	6344066.0
ERR13731435_kraken_report_bracken_species	2404251.0	3154537.0	491231.0	12016.0	15486.0	820091.0	0.0
ERR13731454_kraken_report	1198497.0	2863159.0	358226.0	300406.0	8278.0	756133.0	5263185.0
ERR13731454_kraken_report_bracken_species	1324683.0	3018221.0	367066.0	356393.0	8481.0	390606.0	0.0
ERR13731530_kraken_report	24819541.0	11584377.0	290480.0	3052190.0	1056.0	2348453.0	4665343.0
ERR13731530_kraken_report_bracken_species	25871806.0	12011234.0	309314.0	3354401.0	1060.0	530438.0	0.0
SRR28064149_kraken_report	16978.0	8161.0	49740.0	181.0	12.0	3965.0	25156.0
SRR28064149_kraken_report_bracken_species	17032.0	8198.0	49934.0	226.0	0.0	961.0	0.0
SRR28064150_kraken_report	56525.0	12676.0	7075.0	181.0	152.0	7899.0	25309.0
SRR28064150_kraken_report_bracken_species	57803.0	13079.0	7127.0	175.0	146.0	2788.0	0.0
SRR28064151_kraken_report	13149.0	8955.0	874.0	150.0	15.0	4592.0	22436.0
SRR28064151_kraken_report_bracken_species	13328.0	9385.0	903.0	0.0	0.0	1103.0	0.0
SRR28064152_kraken_report	50655.0	70127.0	3735.0	542.0	1886.0	21220.0	107007.0
SRR28064152_kraken_report_bracken_species	52113.0	73344.0	3853.0	626.0	2106.0	6625.0	0.0
SRR28064153_kraken_report	80434.0	21969.0	885.0	245.0	103.0	7976.0	21912.0
SRR28064153_kraken_report_bracken_species	82510.0	21752.0	921.0	174.0	82.0	1610.0	0.0
SRR28064154_kraken_report	82454.0	14531.0	4577.0	1428.0	703.0	14323.0	77932.0
SRR28064154_kraken_report_bracken_species	84036.0	15090.0	4652.0	1868.0	697.0	3283.0	0.0
SRR28064155_kraken_report	921.0	1342.0	52.0	118.0	35.0	491.0	1768.0
SRR28064155_kraken_report_bracken_species	886.0	1153.0	57.0	140.0	37.0	42.0	0.0
SRR28064156_kraken_report	3044.0	9782.0	737.0	1709.0	571.0	5546.0	26087.0
SRR28064156_kraken_report_bracken_species	2946.0	9946.0	784.0	2093.0	603.0	1220.0	0.0
SRR28064157_kraken_report	60859.0	26750.0	1429.0	343.0	166.0	24176.0	107623.0
SRR28064157_kraken_report_bracken_species	62038.0	28820.0	1526.0	494.0	158.0	11836.0	0.0
SRR28064158_kraken_report	52572.0	72493.0	1628.0	1346.0	11768.0	24967.0	181159.0
SRR28064158_kraken_report_bracken_species	53407.0	71289.0	1747.0	2201.0	13178.0	6641.0	0.0
