Sample	Bacteroidota	Bacillota	Chordata	Pseudomonadota	Actinomycetota	Other	Unclassified
ERR13731435_kraken_report	2468268.0	3206383.0	483448.0	341360.0	225023.0	193957.0	6344066.0
ERR13731435_kraken_report_bracken_species	2495097.0	3316616.0	491231.0	341874.0	224524.0	28270.0	0.0
ERR13731454_kraken_report	1276227.0	3033210.0	358226.0	390274.0	198916.0	227846.0	5263185.0
ERR13731454_kraken_report_bracken_species	1344478.0	3098745.0	367066.0	422577.0	198065.0	34519.0	0.0
ERR13731530_kraken_report	25320431.0	12131505.0	290480.0	3377872.0	124197.0	851612.0	4665343.0
ERR13731530_kraken_report_bracken_species	25889808.0	12267403.0	309314.0	3434667.0	122803.0	54258.0	0.0
SRR28064149_kraken_report	17403.0	8827.0	49740.0	1323.0	580.0	1164.0	25156.0
SRR28064149_kraken_report_bracken_species	17032.0	8420.0	49934.0	629.0	222.0	114.0	0.0
SRR28064150_kraken_report	57835.0	14304.0	7075.0	2719.0	974.0	1601.0	25309.0
SRR28064150_kraken_report_bracken_species	57803.0	13672.0	7127.0	1868.0	645.0	3.0	0.0
SRR28064151_kraken_report	13546.0	10062.0	874.0	1006.0	631.0	1616.0	22436.0
SRR28064151_kraken_report_bracken_species	13328.0	9803.0	903.0	0.0	154.0	531.0	0.0
SRR28064152_kraken_report	52683.0	76828.0	3735.0	5448.0	2086.0	7385.0	107007.0
SRR28064152_kraken_report_bracken_species	52191.0	77010.0	3853.0	2681.0	440.0	2492.0	0.0
SRR28064153_kraken_report	81924.0	23980.0	885.0	1380.0	807.0	2636.0	21912.0
SRR28064153_kraken_report_bracken_species	82527.0	22932.0	921.0	281.0	215.0	173.0	0.0
SRR28064154_kraken_report	84877.0	17472.0	4577.0	3999.0	1289.0	5802.0	77932.0
SRR28064154_kraken_report_bracken_species	84140.0	16361.0	4652.0	1970.0	67.0	2436.0	0.0
SRR28064155_kraken_report	963.0	1501.0	52.0	216.0	57.0	170.0	1768.0
SRR28064155_kraken_report_bracken_species	886.0	1191.0	57.0	140.0	0.0	41.0	0.0
SRR28064156_kraken_report	3399.0	11680.0	737.0	2861.0	643.0	2069.0	26087.0
SRR28064156_kraken_report_bracken_species	2946.0	11003.0	784.0	2155.0	21.0	683.0	0.0
SRR28064157_kraken_report	62617.0	30281.0	1429.0	3498.0	2542.0	13356.0	107623.0
SRR28064157_kraken_report_bracken_species	62102.0	30325.0	1526.0	875.0	882.0	9162.0	0.0
SRR28064158_kraken_report	54113.0	90639.0	1628.0	6779.0	4525.0	7090.0	181159.0
SRR28064158_kraken_report_bracken_species	53451.0	87518.0	1747.0	3557.0	1845.0	345.0	0.0
