Sample	Homo sapiens	Segatella copri	Phocaeicola vulgatus	Faecalibacterium prausnitzii	Bacteroides uniformis	Other	Unclassified
ERR13731435_kraken_report	483448.0	28071.0	142432.0	159138.0	13138.0	6092212.0	6344066.0
ERR13731435_kraken_report_bracken_species	491231.0	33900.0	446457.0	457191.0	57272.0	5411561.0	0.0
ERR13731454_kraken_report	358226.0	587.0	24008.0	349273.0	1540.0	4751065.0	5263185.0
ERR13731454_kraken_report_bracken_species	367066.0	636.0	53608.0	673200.0	4212.0	4366728.0	0.0
ERR13731530_kraken_report	290480.0	2983.0	103295.0	1364637.0	4964296.0	35370406.0	4665343.0
ERR13731530_kraken_report_bracken_species	309314.0	3248.0	203643.0	4447280.0	12942254.0	24172514.0	0.0
SRR28064149_kraken_report	49740.0	1740.0	3624.0	396.0	322.0	23215.0	25156.0
SRR28064149_kraken_report_bracken_species	49934.0	2092.0	8121.0	1423.0	806.0	13975.0	0.0
SRR28064150_kraken_report	7075.0	416.0	13024.0	745.0	1381.0	61867.0	25309.0
SRR28064150_kraken_report_bracken_species	7127.0	535.0	28285.0	1771.0	3981.0	39419.0	0.0
SRR28064151_kraken_report	874.0	397.0	271.0	68.0	831.0	25294.0	22436.0
SRR28064151_kraken_report_bracken_species	903.0	493.0	569.0	172.0	2390.0	20192.0	0.0
SRR28064152_kraken_report	3735.0	4691.0	5710.0	3309.0	2679.0	128041.0	107007.0
SRR28064152_kraken_report_bracken_species	3853.0	5472.0	12458.0	10341.0	5914.0	100629.0	0.0
SRR28064153_kraken_report	885.0	93.0	11762.0	2668.0	1531.0	94673.0	21912.0
SRR28064153_kraken_report_bracken_species	921.0	102.0	26105.0	4631.0	3928.0	71362.0	0.0
SRR28064154_kraken_report	4577.0	45089.0	787.0	837.0	182.0	66544.0	77932.0
SRR28064154_kraken_report_bracken_species	4652.0	51334.0	1778.0	2331.0	492.0	49039.0	0.0
SRR28064155_kraken_report	52.0	35.0	43.0	43.0	26.0	2760.0	1768.0
SRR28064155_kraken_report_bracken_species	57.0	48.0	88.0	210.0	66.0	1846.0	0.0
SRR28064156_kraken_report	737.0	73.0	135.0	794.0	106.0	19544.0	26087.0
SRR28064156_kraken_report_bracken_species	784.0	97.0	311.0	1899.0	315.0	14186.0	0.0
SRR28064157_kraken_report	1429.0	35150.0	200.0	1861.0	295.0	74788.0	107623.0
SRR28064157_kraken_report_bracken_species	1526.0	40736.0	455.0	4576.0	892.0	56687.0	0.0
SRR28064158_kraken_report	1628.0	9362.0	1000.0	5171.0	823.0	146790.0	181159.0
SRR28064158_kraken_report_bracken_species	1747.0	10723.0	2111.0	16959.0	2027.0	114896.0	0.0
