Sample	Unclassified	Other
ERR13731435_kraken_report	6344066.0	6918439.0
ERR13731435_kraken_report_bracken_species	0.0	6897612.0
ERR13731454_kraken_report	5263185.0	5484699.0
ERR13731454_kraken_report_bracken_species	0.0	5465450.0
ERR13731530_kraken_report	4665343.0	42096097.0
ERR13731530_kraken_report_bracken_species	0.0	42078253.0
SRR28064149_kraken_report	25156.0	79037.0
SRR28064149_kraken_report_bracken_species	0.0	76351.0
SRR28064150_kraken_report	25309.0	84508.0
SRR28064150_kraken_report_bracken_species	0.0	81118.0
SRR28064151_kraken_report	22436.0	27735.0
SRR28064151_kraken_report_bracken_species	0.0	24719.0
SRR28064152_kraken_report	107007.0	148165.0
SRR28064152_kraken_report_bracken_species	0.0	138667.0
SRR28064153_kraken_report	21912.0	111612.0
SRR28064153_kraken_report_bracken_species	0.0	107049.0
SRR28064154_kraken_report	77932.0	118016.0
SRR28064154_kraken_report_bracken_species	0.0	109626.0
SRR28064155_kraken_report	1768.0	2959.0
SRR28064155_kraken_report_bracken_species	0.0	2315.0
SRR28064156_kraken_report	26087.0	21389.0
SRR28064156_kraken_report_bracken_species	0.0	17592.0
SRR28064157_kraken_report	107623.0	113723.0
SRR28064157_kraken_report_bracken_species	0.0	104872.0
SRR28064158_kraken_report	181159.0	164774.0
SRR28064158_kraken_report_bracken_species	0.0	148463.0
