Sample	kraken-pct_top_one	kraken-pct_top_n	kraken-pct_unclassified	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR13731435_1				25.016219094569337	44.0	149.17318442548373	151	9.090909090909092	6.660316
ERR13731435_2				25.61070701294784	44.0	149.1558223363576	151	9.090909090909092	6.660316
ERR13731435_kraken_report_bracken_species	0.8406094994180371	25.089493907588846							
ERR13731454_1				13.508739839774748	48.0	149.18842260854407	151	9.090909090909092	5.403497
ERR13731454_2				13.566959842359054	48.0	149.13717727612323	151	9.090909090909092	5.403497
ERR13731454_kraken_report	0.013328956660996885	15.599753314831947	49.147344652999514						
ERR13731454_kraken_report_bracken_species	0.07817407973756132	47.29531824122461							
ERR13731530_1				46.480695630150194	49.0	149.53796389447857	151	9.090909090909092	23.451427
ERR13731530_2				46.0657378314387	49.0	149.49667097017166	151	9.090909090909092	23.451427
ERR13731530_kraken_report	10.63503922014471	13.76118475265705	9.932153333484377						
ERR13731530_kraken_report_bracken_species	30.798610385233232	41.69372948293113							
