Module	Section	Sample Name	Source
Kraken	all_sections	ERR13731454_kraken_report_bracken_species	/mnt/omar/pipelines/ont/work/results/003_abundance/kraken2/reports/ERR13731454_kraken_report_bracken_species.txt
Kraken	all_sections	ERR13731435_kraken_report_bracken_species	/mnt/omar/pipelines/ont/work/results/003_abundance/kraken2/reports/ERR13731435_kraken_report_bracken_species.txt
Kraken	all_sections	ERR13731454_kraken_report	/mnt/omar/pipelines/ont/work/results/003_abundance/kraken2/reports/ERR13731454_kraken_report.txt
Kraken	all_sections	ERR13731435_kraken_report	/mnt/omar/pipelines/ont/work/results/003_abundance/kraken2/reports/ERR13731435_kraken_report.txt
Kraken	all_sections	ERR13731530_kraken_report	/mnt/omar/pipelines/ont/work/results/003_abundance/kraken2/reports/ERR13731530_kraken_report.txt
Kraken	all_sections	ERR13731530_kraken_report_bracken_species	/mnt/omar/pipelines/ont/work/results/003_abundance/kraken2/reports/ERR13731530_kraken_report_bracken_species.txt
FastQC	all_sections	ERR13731454_2	/mnt/omar/pipelines/ont/work/results/002_qc/ERR13731454_2_fastqc.zip
FastQC	all_sections	ERR13731530_2	/mnt/omar/pipelines/ont/work/results/002_qc/ERR13731530_2_fastqc.zip
FastQC	all_sections	ERR13731435_2	/mnt/omar/pipelines/ont/work/results/002_qc/ERR13731435_2_fastqc.zip
FastQC	all_sections	ERR13731454_1	/mnt/omar/pipelines/ont/work/results/002_qc/ERR13731454_1_fastqc.zip
FastQC	all_sections	ERR13731530_1	/mnt/omar/pipelines/ont/work/results/002_qc/ERR13731530_1_fastqc.zip
FastQC	all_sections	ERR13731435_1	/mnt/omar/pipelines/ont/work/results/002_qc/ERR13731435_1_fastqc.zip
