# Reaction HUMAnN v4.0.0.alpha.1	SRR7947168_kegg
UNMAPPED	0.0000000000
UNGROUPED	1071879.9551533174
UNGROUPED	1002310.4334788087
K01520	1106.2920930197
K02428	625.9233476311
K00794	573.1170904720
K00954	473.5805533471
K01056	426.9487080583
K03100	412.5731518615
K00981	397.7538272033
K01990	397.5865847772
K10026	384.2012539243
K05349	381.6666343887
K01808	378.5944318807
K00566	366.3231076801
K00177	364.7167062368
K01159	342.7665620770
K01807	340.8116388886
K01190	326.8434401360
K00648	324.7250724047
K18330	324.3039186968
K03438	323.2439283339
K01817	319.1915079236
K01714	318.6124192247
K00942	309.9337656739
K00939	308.9442213779
K02796	304.8386288494
K01442	300.5767384671
K03183	299.0433699962
K01512	292.3911876747
K03340	290.9387146735
K01154	290.7618647499
K02822	285.9931014148
K06041	268.4006326578
K03648	261.1967239420
K00554	261.0370169835
K00965	260.2592050346
K01785	255.6192640594
K02794	254.7673466595
K01489	247.7363113870
K00826	243.1351674304
K20112	241.9101776577
K00850	241.2893296182
K02907	238.9085698065
K00331	238.1770494971
K07443	238.0932993539
K05982	237.2609244975
K06173	236.4457213499
K00791	236.2562667573
K07496	235.9056296332
K10353	234.5723244607
K13789	234.0278107350
K02342	232.3139342179
K03150	232.2821967315
K00241	231.7284339246
K00703	227.6825222537
K06969	225.6007614620
K00891	220.1423136216
K09955	218.8072867061
K01885	218.3348419236
K02793	217.5348422741
K01151	216.0027911862
K00971	215.1548932878
K00847	214.6895822225
K01815	213.7508230966
K00655	211.3708501703
K01000	211.0867153814
K01491	210.7348432960
K01639	206.9074838038
K01462	206.7600601954
K03734	206.7562293791
K03574	204.3504355738
K00677	203.7172343436
K01813	203.5838901360
K13043	201.4131547893
K00077	201.1796540655
K03439	200.7217310437
K01424	200.2285566993
K01607	199.3968957765
K02013	198.9701621774
K00661	198.8017671189
K00973	198.3220665006
K02355	197.6399129686
K01537	196.8640391817
K00145	196.6300675007
K01809	194.5747932942
K19265	192.6763748537
K01892	192.3619605459
K03470	192.2443599393
K06941	190.9524769600
K01695	188.5857860614
K00052	188.2571764546
K23352	186.1079288122
K01591	184.3640995989
K00783	184.3249701719
K01620	183.2262241961
K02003	170.6529024351
K00940	169.0337831878
K11991	168.0221193027
K16363	166.8857392222
K06180	165.6998535653
K01928	165.5385718325
K18014	165.2284957821
K00348	163.2609954144
K17828	162.3206111322
K02217	161.5165428429
K03778	161.2589427419
K01870	161.2413767651
K03544	161.0708321100
K02120	159.5514116733
K07636	159.4733116756
K20509	159.2987614476
K00339	159.2268864749
K01770	159.1820710532
K01915	158.9925241068
K22393	158.5790045937
K04075	158.5145890488
K01095	158.2751587770
K00057	158.2725148750
K02231	158.1464958426
K02501	157.7845999494
K12373	157.6428304987
K17103	157.4634063732
K01972	156.3067320487
K00567	155.7837583346
K01187	154.8693496647
K02564	154.8596793636
K00286	154.8177213163
K06911	154.5865304253
K00059	153.7173516237
K01840	153.4995448477
K00784	153.4266081149
K21574	152.9442575346
K02769	152.9014846762
K01873	152.6193654169
K01595	152.3630589205
K00790	151.5704914180
K00560	150.1957697395
K02528	149.4607924211
K03269	148.2359779077
K03273	147.8070168029
K00240	147.6696439629
K00275	147.1820729116
K03527	146.5373760723
K13668	145.1824710289
K12308	144.7179091128
K01092	144.5047305449
K21071	143.8267912332
K03216	143.3920020153
K01493	142.7954975968
K02774	142.7503487641
K01628	142.6972655019
K15984	142.6306287988
K06168	142.6261913963
K01130	142.0440077437
K21572	141.0524783467
K04486	140.7640976876
K00831	140.6716433073
K00337	139.6178841200
K00097	139.0287146122
K01883	138.2470732259
K00330	137.6113362086
K01507	137.6113362086
K19157	137.6113362086
K00075	136.1008899248
K08218	135.8897264238
K07258	135.8718632284
K07646	134.9176059079
K15633	134.2542695714
K07106	134.1280713051
K01356	133.7965779624
K02029	133.2946216240
K00858	133.0927038295
K03797	132.2259594177
K03801	132.0522344670
K03215	131.1013650091
K00919	131.0329054445
K02761	130.1801727578
K00757	129.0253896827
K02036	128.9300160212
K00604	128.8641958333
K10670	128.3687837766
K00266	128.2740365898
K00180	128.2501509153
K00867	128.0280172387
K02001	127.9963427684
K00845	127.5405931742
K01881	126.6353240709
K01448	126.5641784304
K02124	125.8240025545
K01681	125.3340041870
K03501	125.1113698787
K01744	124.9269287752
K00041	124.5294145674
K01696	123.9928280466
K03070	123.9061296228
K02621	123.2429236722
K01814	122.8941442060
K21063	121.9484117111
K00574	121.5978054653
K01524	120.6282729597
K07029	119.2734584673
K03437	118.9993304646
K10773	117.9917455926
K01823	117.8223376990
K05833	117.7113349766
K00912	116.9135765974
K03385	116.3532396220
K17758	116.1368592753
K01649	116.1191777363
K00800	115.7786106712
K01206	115.4470312160
K01939	114.9898536286
K00949	114.5104873658
K10213	113.5197899142
K01091	112.7075014560
K01918	112.6397915428
K07386	111.0830739764
K00765	111.0566560838
K02111	110.7857632892
K01425	110.6202450697
K06153	110.1162828271
K14441	109.3722246019
K00058	109.1884144811
K00766	108.9127264337
K14652	108.7508882165
K03474	108.2855639587
K01810	108.2796510994
K06967	107.6166623931
K01755	107.1279981837
K01961	106.8843391747
K06147	106.7481211050
K11072	106.4705806374
K02119	105.4688839104
K01803	105.0143303576
K01804	104.9431406398
K03685	104.8578738820
K03575	104.2887785578
K02118	103.7145809470
K01805	103.3229972798
K01277	102.6648199963
K01104	102.0099420515
K01890	101.8460499810
K01951	101.7069460924
K03606	101.6061799208
K01633	100.8880763992
K00605	100.4711448973
K05606	100.2998077322
K00962	99.3136642552
K07056	98.9140707929
K02529	98.3921489145
K01775	97.9727487847
K02338	97.9701308582
K04041	97.9372229262
K01752	97.7353240118
K06167	97.6181834495
K01759	97.1831470399
K00948	97.1176830009
K23003	96.6488689992
K10441	96.5794265686
K03672	96.0973018216
K00426	95.6530340062
K02075	94.9562720366
K03550	94.7896846709
K21749	94.3605508709
K04567	94.3061116330
K03787	94.2571698834
K11927	94.1007823707
K04066	93.9997921364
K00930	93.6193925768
K00876	93.2696698802
K19506	93.2326126074
K00561	92.9876395362
K06158	92.9560433495
K02551	92.6923079635
K01662	92.6666679116
K01874	92.1962841259
K02812	91.7408908057
K14155	91.1530184021
K02030	91.0185215868
K00609	90.1392031531
K15923	89.9431449355
K00969	89.9365458865
K01778	89.7908786043
K00928	89.6751002565
K01889	88.9831381687
K00951	88.7385063043
K01613	88.6671574892
K15342	88.6670980725
K09680	88.2267289991
K03763	86.3404470788
K01866	86.1066707998
K12112	86.0070851303
K21636	85.7353904163
K02190	85.4571136071
K08728	84.7360444634
K00931	84.7358582507
K02821	84.3206716964
K01297	84.2128842698
K02959	83.9701966725
K11753	82.4072541795
K01619	82.2579448525
K01515	82.1070025111
K17074	81.9115096480
K18785	81.0271623688
K23259	80.7908183642
K03594	80.7578264135
K07406	80.6358600611
K03816	80.5686980144
K07533	80.3804533928
K09761	80.1768224533
K00820	80.1319535896
K03313	79.9131521598
K01126	79.0509635793
K01924	78.9088571646
K23351	78.9055826884
K03525	78.2440208385
K21575	78.1816505908
K00805	77.8344661813
K01783	77.2398857958
K06012	77.1038573652
K00287	76.9638345685
K00334	76.9638345685
K00602	76.7051196666
K03387	75.7478677053
K00244	75.4231717484
K05837	74.3219610153
K03569	74.0895259640
K00768	73.9124937601
K02518	73.5101292879
K08307	73.3000743260
K06885	73.2252042630
K01734	72.8873602800
K01925	72.8144192864
K01223	72.7894759309
K11261	72.5798186754
K01912	72.3394228640
K17759	72.3115929668
K03817	72.1233418284
K03411	71.6725709420
K03695	71.6393464703
K01465	71.6108248121
K01776	71.2611301812
K03088	71.0802356449
K01599	70.8498484990
K05970	70.8215715042
K04095	70.7877243871
K00874	70.6818034944
K11754	70.3198568292
K01443	69.4534564982
K06121	69.3605525245
K03270	69.0819960886
K05366	69.0225522226
K03700	68.6683314414
K00432	68.3952963263
K01051	68.2157420526
K00849	67.3773829255
K22394	67.1930352581
K01586	66.9617104088
K12132	66.8963503548
K01903	66.7054777483
K03469	66.6579018209
K01736	66.6076167515
K19271	66.5431993272
K00857	66.4147375524
K03101	65.7797974228
K01589	65.6322830572
K03617	65.5292077184
K03657	65.0084318041
K00860	64.7887646933
K01153	64.7308956493
K01868	64.5801558013
K07481	64.5456548821
K01710	64.5042186356
K03601	64.4334291381
K01197	64.3767336281
K01012	63.9816149596
K05687	63.9457882010
K00798	63.8271503750
K04564	63.8271503750
K02755	63.7482845318
K02756	63.7482845318
K02757	63.7482845318
K03040	63.6052949635
K00003	63.5401043464
K00859	63.3569687885
K00175	63.2291535738
K06019	63.1244661507
K15987	62.9189829420
K03744	62.7788942557
K01551	62.6816844748
K02035	62.5093697587
K03775	62.0989784335
K02520	61.5435313992
K16012	61.4293872154
K03177	61.3241248701
K01358	61.2150072102
K11755	60.9979327166
K10547	60.8571154169
K03613	60.4619227630
K01787	60.1218553753
K14260	59.9909917208
K02906	59.9352509619
K01224	59.7360525517
K00844	59.5068538929
K01259	59.2767115131
K02056	59.0395753794
K00616	59.0100069505
K00024	58.5714253580
K02314	58.4762929032
K03522	58.3099301012
K15555	58.2112251305
K01468	58.0641649316
K16841	56.9583345234
K01533	56.8686871784
K00833	56.7019090729
K05341	56.3629950319
K10907	56.1671516120
K01893	56.0250295053
K03526	55.5230363118
K01262	55.3996632750
K18234	55.3990886508
K00806	55.2212424593
K00991	54.9566039172
K01176	54.7564677639
K09473	54.4348640065
K07464	54.0925063713
K00558	53.7989290723
K01869	53.7448168473
K09121	53.6761504870
K01834	53.3377272126
K03814	53.1728501579
K01227	53.0369854588
K01487	52.8165461553
K03654	52.7603795176
K03498	52.5315478739
K04084	52.3146020905
K04477	51.9680272691
K08591	51.8114970665
K03427	51.7972291297
K07456	51.5258726697
K01243	51.5012485810
K09022	51.5012485810
K01077	51.4050636575
K01186	50.5317203063
K01142	50.4440381996
K11963	50.3701816283
K10794	50.0769054616
K01872	50.0349372782
K06201	49.7870246775
K07263	49.5921645415
K01081	49.5907590380
K00705	49.4856830188
K03218	49.3584419686
K09765	49.3584419686
K00343	49.2003806394
K01624	49.1631994471
K03310	48.8009117295
K00297	48.6603027612
K09817	48.6603027612
K05306	48.5988021199
K00848	48.5358074077
K03426	48.5230381553
K01265	48.1158518212
K18866	48.1158518212
K09013	47.9186614281
K22605	47.8481697526
K02611	47.7817139613
K09773	47.5177265914
K02510	47.2566401815
K01854	47.1730401623
K00854	47.0506197165
K01719	46.9984071751
K00763	46.9100277460
K00851	46.9023830885
K02371	46.7429810491
K16951	46.5532260516
K00691	46.3488173468
K01916	46.3033579101
K01609	46.1163995337
K02169	46.0546640591
K02233	45.6876946244
K01079	45.3265270779
K16509	45.2775872267
K01955	45.0744178631
K11085	45.0286719296
K01950	44.8961672906
K04074	44.8537601723
K03768	44.5632565442
K15986	44.4343145819
K01629	44.3335490363
K00941	44.2195810439
K11070	43.9372082403
K06897	43.7695089722
K15584	43.7416834738
K01486	43.4698028838
K05815	43.3285063629
K02020	42.9498552461
K01585	42.6879361288
K07391	42.5202150054
K00067	42.4726346323
