Pathway	Taxa	Abundance	Relative Contribution
UNINTEGRATED	UNINTEGRATED|g__Bacteroides.s__Bacteroides_plebeius	709253.9345523847	0.15755938601352124
UNINTEGRATED	UNINTEGRATED|g__Bacteroides.s__Bacteroides_coprocola	694106.005711399	0.15419430299982112
UNINTEGRATED	UNINTEGRATED|unclassified	392559.9181885131	0.08720642448368678
UNINTEGRATED	UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	386642.5346654393	0.08589188921037814
UNINTEGRATED	UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	380120.6245121093	0.0844430595185943
UNINTEGRATED	UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	206813.8390431621	0.045943293242785815
UNINTEGRATED	UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	161947.5220318674	0.035976327933740386
UNINTEGRATED	UNINTEGRATED|g__Streptococcus.s__Streptococcus_pneumoniae	160582.6040218449	0.035673114044974766
UNINTEGRATED	UNINTEGRATED|g__Bacteroides.s__Bacteroides_massiliensis	113092.8589854731	0.025123359288109527
UNINTEGRATED	UNINTEGRATED|g__Dorea.s__Dorea_longicatena	81085.6633287838	0.01801302284864331
UNINTEGRATED	UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris	77099.5425645059	0.01712751385165517
UNINTEGRATED	UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_252	73396.3499785718	0.016304856800767133
UNINTEGRATED	UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	70011.8459126068	0.015552995786516637
UNINTEGRATED	UNINTEGRATED|g__Blautia.s__Blautia_obeum	69468.4540909036	0.015432282347194853
UNINTEGRATED	UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	67960.9624102901	0.015097395994018886
UNINTEGRATED	UNINTEGRATED|g__Prevotella.s__Prevotella_sp_CAG_279	61108.0048569215	0.013575024764359206
UNINTEGRATED	UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	58130.9454120774	0.01291367678248101
UNINTEGRATED	UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_merdae	56063.8105632744	0.012454466784879652
UNINTEGRATED	UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	33674.5824062139	0.007480743172095735
UNINTEGRATED	UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	30289.4689680088	0.0067287467869839345
UNINTEGRATED	UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	29527.8051890551	0.006559544655681806
UNINTEGRATED	UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis	29193.8155114886	0.006485349496559506
UNINTEGRATED	UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris	23463.9439187275	0.005212469634903868
UNINTEGRATED	UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_longum	23379.1562179013	0.005193634211605011
UNINTEGRATED	UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	23262.7337911469	0.005167771195294493
UNINTEGRATED	UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	22984.7611484985	0.005106020111838215
UNINTEGRATED	UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	22571.1619368321	0.005014139849112621
UNINTEGRATED	UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52	22565.1575707266	0.0050128059908273225
UNINTEGRATED	UNINTEGRATED|g__Blautia.s__Blautia_wexlerae	20121.7656408943	0.004470011212399011
UNINTEGRATED	UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	19853.3834727352	0.004410390634250492
UNINTEGRATED	UNINTEGRATED|g__Paraprevotella.s__Paraprevotella_clara	16987.2209290817	0.0037736781838951755
UNINTEGRATED	UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	16573.2215496068	0.0036817090246670198
UNINTEGRATED	UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	16086.2885175578	0.003573537795969132
UNINTEGRATED	UNINTEGRATED|g__Subdoligranulum.s__Subdoligranulum_sp_APC924_74	14986.2761200989	0.0033291721752690263
UNINTEGRATED	UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	12327.4887623411	0.002738527720271095
UNINTEGRATED	UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	11680.2994006325	0.0025947558587450198
UNINTEGRATED	UNINTEGRATED|g__Sutterella.s__Sutterella_wadsworthensis	10562.7389263867	0.0023464919668199444
UNINTEGRATED	UNINTEGRATED|g__Clostridium.s__Clostridium_sp_AM22_11AC	10506.1895426836	0.0023339296309037865
UNINTEGRATED	UNINTEGRATED|g__Clostridiales_unclassified.s__Clostridiales_bacterium_KLE1615	9612.7203261675	0.002135447177274393
UNINTEGRATED	UNINTEGRATED|g__Intestinibacter.s__Intestinibacter_bartlettii	9604.9744833697	0.00213372645331937
UNINTEGRATED	UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	9212.9596308991	0.002046641114127802
UNINTEGRATED	UNINTEGRATED|g__Barnesiella.s__Barnesiella_intestinihominis	8243.1825762509	0.0018312070222509579
UNINTEGRATED	UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_catenulatum	8123.0275826623	0.0018045148234572689
UNINTEGRATED	UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_221	7730.0130227077	0.001717207401186991
UNINTEGRATED	UNINTEGRATED|g__Senegalimassilia.s__Senegalimassilia_anaerobia	7480.5709300154	0.001661794324070499
UNINTEGRATED	UNINTEGRATED|g__Turicibacter.s__Turicibacter_sanguinis	7057.3236245037	0.0015677707560089597
UNINTEGRATED	UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_57_20	6270.795936921	0.0013930451556266724
UNINTEGRATED	UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	5765.035571158	0.0012806914712584871
UNINTEGRATED	UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	5145.143251945	0.0011429835947821471
UNINTEGRATED	UNINTEGRATED|g__Veillonella.s__Veillonella_dispar	4213.743831102	0.0009360750198244517
UNINTEGRATED	UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	3854.0037767942	0.0008561594644500861
UNINTEGRATED	UNINTEGRATED|g__Slackia.s__Slackia_isoflavoniconvertens	3185.7513329116	0.0007077084800693982
UNINTEGRATED	UNINTEGRATED|g__Streptococcus.s__Streptococcus_parasanguinis	3115.2733681515	0.0006920519368849152
UNINTEGRATED	UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_faecium	2711.436654037	0.0006023403940568098
UNINTEGRATED	UNINTEGRATED|g__Veillonella.s__Veillonella_infantium	1284.0284258947	0.00028524442453118975
UNINTEGRATED	UNINTEGRATED|g__Veillonella.s__Veillonella_parvula	793.7590664799	0.00017633203717955793
UNINTEGRATED	UNINTEGRATED|g__Collinsella.s__Collinsella_sp_CAG_289	440.3894979647	9.783167286891677e-05
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_plebeius	1168.8990491795	0.27803655741395283
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	773.773310941	0.18405119564760167
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Roseburia.s__Roseburia_intestinalis	499.1697980696	0.11873348029302479
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_coprocola	488.4513180901	0.1161839622005065
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	347.7673383119	0.08272060242766592
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_massiliensis	122.6673973922	0.02917790112139885
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	80.797461292	0.019218638257241873
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	80.2378110234	0.0190855187768671
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_sp_CAG_252	80.1447598859	0.019063385455814173
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Prevotella.s__Prevotella_sp_CAG_279	62.6652435873	0.014905674368329567
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_obeum	60.508395424	0.014392642350201499
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Dorea.s__Dorea_longicatena	39.1599945858	0.009314671006557453
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	37.4477214402	0.008907386450128767
